mu_chain_1,tau_chain_1,mu_chain_2,tau_chain_2
0.3932201329400374,0.27742748352899005,0.07958194021989405,0.04643384193971414
0.39358694232164987,0.27635738899863893,0.08012011382261448,0.04519097483580672
0.3839037680303727,0.27635738899863893,0.08033024959667949,0.04519097483580672
0.37600435819752726,0.27974629230563197,0.0810682492128578,0.04519097483580672
0.37521061406740625,0.27974629230563197,0.08037443151909233,0.04519097483580672
0.3822761957026876,0.27974629230563197,0.08030079879102232,0.04519097483580672
0.3850345552018955,0.27974629230563197,0.08026862911601541,0.04569156516198537
0.3729926964590747,0.27974629230563197,0.08043997454731473,0.04569156516198537
0.3619320620459406,0.27974629230563197,0.08110786817460508,0.04569156516198537
0.3593870128165485,0.27974629230563197,0.07974336825591831,0.04569156516198537
0.35455932081984487,0.27974629230563197,0.08034501629253138,0.04569156516198537
0.34911258940747153,0.27974629230563197,0.08189248598507028,0.04569156516198537
0.34727701826636376,0.27974629230563197,0.08087748360989566,0.046305521006857725
0.3518642973652287,0.2887002245280185,0.08093008530292545,0.046305521006857725
0.35619744463991093,0.2887002245280185,0.0834146117768201,0.046305521006857725
0.3592973011815674,0.2887002245280185,0.08385991725592803,0.046305521006857725
0.35521338156084575,0.29182356790052427,0.0841729083624772,0.046305521006857725
0.35728502047219945,0.29182356790052427,0.08504258417574448,0.046305521006857725
0.3486428232511161,0.29182356790052427,0.08605580189218417,0.046305521006857725
0.345069530792142,0.29152664512216847,0.08682966509327995,0.046305521006857725
0.3550605828538192,0.29152664512216847,0.08806855067695062,0.046305521006857725
0.35173979185329357,0.29152664512216847,0.0882879212126547,0.046305521006857725
0.3590272425595638,0.29152664512216847,0.08796807694627133,0.046305521006857725
0.36175722375377883,0.29152664512216847,0.0885464310968005,0.046305521006857725
0.368696394327682,0.29152664512216847,0.08943486046639534,0.046305521006857725
0.36995478930672937,0.2933020549349475,0.09001046037489532,0.046305521006857725
0.3632548910051645,0.2933020549349475,0.09044621357833665,0.046305521006857725
0.36089074987430647,0.2933020549349475,0.09075609085703118,0.04402935067810378
0.36765045830942056,0.2933020549349475,0.09143324991948149,0.04464623097902695
0.3559808287792306,0.2933020549349475,0.09330294581675135,0.04464623097902695
0.36222928144099936,0.2933020549349475,0.09581382372964146,0.04464623097902695
0.3711475022773883,0.2933020549349475,0.09598068762787572,0.04464623097902695
0.36638974350943554,0.2933020549349475,0.09604550039425983,0.04464623097902695
0.3764534293138906,0.2701627794644019,0.09649430246321365,0.04464623097902695
0.38171890845475503,0.2767153184792931,0.0944216929938206,0.04464623097902695
0.37360480701117427,0.28192459823585275,0.09425496428704669,0.04464623097902695
0.36696512650954877,0.28192459823585275,0.09314610156447901,0.04464623097902695
0.3806030297009809,0.28192459823585275,0.09170891110858512,0.04464623097902695
0.37730252746327375,0.28192459823585275,0.09401112508124058,0.04464623097902695
0.3770062942542375,0.28192459823585275,0.09369579399989401,0.04464623097902695
0.3775387953427119,0.28192459823585275,0.09404597532375066,0.04464623097902695
0.3850217958133506,0.28192459823585275,0.09340977031369592,0.04464623097902695
0.38634704648247836,0.28192459823585275,0.09104049693943976,0.04464623097902695
0.3863054989756591,0.28192459823585275,0.09146475987773,0.04464623097902695
0.3929847261464255,0.28192459823585275,0.0931865361240312,0.04464623097902695
0.3990248821862013,0.2777327277718572,0.09363859416678305,0.04464623097902695
0.3905657597608909,0.2777327277718572,0.09569727649470479,0.04464623097902695
0.3923791522494039,0.2777327277718572,0.09441231606083204,0.04464623097902695
0.3788566811487716,0.2777327277718572,0.09615797440536017,0.04464623097902695
0.3833942594526204,0.2777327277718572,0.0968731114886925,0.04464623097902695
0.39306758072290665,0.2777327277718572,0.09799450823454027,0.04464623097902695
0.3991325116562617,0.2777327277718572,0.09814676729056597,0.04464623097902695
0.38359925576712584,0.2777327277718572,0.09766597170936976,0.04464623097902695
0.37943404748279114,0.2777327277718572,0.09686548234927936,0.04400083802435922
0.3869028281518785,0.2777327277718572,0.09798866131948981,0.04400083802435922
0.3924632126571232,0.2765135985409493,0.09689074888109342,0.04400083802435922
0.3920008187680374,0.2765135985409493,0.09615315619553323,0.04400083802435922
0.3942786033008326,0.27536198295036896,0.0983633621861669,0.04400083802435922
0.3951426655636927,0.27536198295036896,0.09787880443819184,0.04400083802435922
0.40055024748835083,0.27536198295036896,0.09953735103779335,0.04400083802435922
0.3953387258100645,0.27440291325956373,0.10058941013039241,0.04400083802435922
0.40131426344540577,0.27440291325956373,0.10005967276146892,0.04400083802435922
0.39953666652896597,0.27440291325956373,0.10095136579026419,0.04400083802435922
0.3963659534864547,0.27440291325956373,0.09948009096280105,0.04400083802435922
0.39905376781637725,0.27440291325956373,0.09941853245553023,0.04400083802435922
0.39502738757915234,0.27440291325956373,0.10063432423487977,0.04400083802435922
0.393125448910294,0.27440291325956373,0.10107792653170121,0.04400083802435922
0.39350620178245527,0.27440291325956373,0.10045575168626539,0.04400083802435922
0.3961943864635554,0.26768554221814395,0.09948916150728807,0.04400083802435922
0.4007034883908116,0.26768554221814395,0.098736018807738,0.04400083802435922
0.3971601639987063,0.26768554221814395,0.09721188529543448,0.04400083802435922
0.39302698141247155,0.26768554221814395,0.0957948282707952,0.04400083802435922
0.382723806429915,0.26768554221814395,0.09700426392881899,0.04400083802435922
0.3814348916173538,0.2605333405527555,0.09835140989791093,0.04400083802435922
0.39244026427689416,0.2636945520372533,0.10014085680648163,0.04400083802435922
0.39264955536228047,0.2636945520372533,0.09936819942776666,0.04400083802435922
0.3800043277541126,0.2636945520372533,0.1012791132179668,0.04400083802435922
0.38342668242803785,0.2636945520372533,0.10133923371885532,0.043506478780397984
0.38394536658540857,0.2636945520372533,0.10137335487698919,0.04238259612641185
0.382475521356735,0.2624001313860997,0.1018320462784339,0.04238259612641185
0.3795697308643264,0.2624001313860997,0.10246325666875679,0.04238259612641185
0.38615750289184786,0.2624001313860997,0.10254681072259746,0.04238259612641185
0.38939818181200575,0.2624001313860997,0.10366337359480761,0.04238259612641185
0.38574361235530746,0.2624001313860997,0.10276176609422076,0.04238259612641185
0.3839467505207705,0.2624001313860997,0.10277172897118993,0.04238259612641185
0.3792865700744311,0.2624001313860997,0.10358872646800732,0.04238259612641185
0.38096784292223007,0.2624001313860997,0.10349310584402355,0.04238259612641185
