Rank_by_RMSE,Method_Type,Model,Z,mu_prior_sd,tau_halfcauchy_scale,Validation_RMSE,Validation_Bias,Validation_SE,Validation_Coverage,Rhat_mu,Rhat_tau,tau_accept_rate
1,Comparison method,MICE-style iterative regression,,,,1.681353368294812,-0.0586376178746888,1.6821481129908267,,,,
2,Comparison method,Gaussian NB baseline,,,,1.7145470924005723,0.013584667223946972,1.71634778388837,,,,
3,Comparison method,Naive mean,,,,1.7498964502585075,0.0803020635253511,1.749943773677618,,,,
4,Bayesian fixed Z,Ind_FixedZ0.9_muSD5_HC1.0,0.9,5.0,1.0,1.773727819311594,0.13008274536271508,1.7708647583628416,0.9308855291576674,1.0203434630340713,1.3926018723978741,0.18775
5,Bayesian fixed Z,Ind_FixedZ0.9_muSD10_HC1.0,0.9,10.0,1.0,1.7737288946838028,0.1300974076508206,1.7708647583628416,0.9308855291576674,1.0203433339403998,1.3926018723978741,0.18775
6,Bayesian fixed Z,Ind_FixedZ0.9_muSD5_HC5.0,0.9,5.0,5.0,1.774553546099562,0.1407253819569977,1.7708782833272998,0.9308855291576674,1.1223973759185273,1.0708451867051267,0.19366666666666668
7,Bayesian fixed Z,Ind_FixedZ0.9_muSD10_HC5.0,0.9,10.0,5.0,1.7745547526449215,0.14074059573232986,1.7708782833272998,0.9308855291576674,1.1224033199138133,1.0708451867051267,0.19366666666666668
8,Bayesian fixed Z,Ind_FixedZ0.9_muSD5_HC2.5,0.9,5.0,2.5,1.7752516323950793,0.12411950399548484,1.7728228421903411,0.9330453563714903,1.0831915462263653,1.2739209390131805,0.1865
9,Bayesian fixed Z,Ind_FixedZ0.9_muSD10_HC2.5,0.9,10.0,2.5,1.7752526501075439,0.12413405924462571,1.7728228421903414,0.9330453563714903,1.0831939160995414,1.2739209390131805,0.1865
