Rank_by_RMSE,Model,Z_prior,mu_prior_sd,tau_halfcauchy_scale,Z_mean,sigma_y_used,sigma_c_used,Validation_RMSE,Validation_Bias,Validation_SE,Validation_Coverage,Rhat_mu,Rhat_tau,Rhat_phi,Rhat_Z_mean,tau_accept_rate,phi_accept_rate,z_accept_rate,Method_Type
1,AR1_SampledZ_Beta1_1_muSD10_HC2p5_sigY1p36_sigC1p36,"Beta(1,1)",10.0,2.5,0.9976570217298922,1.3580511528512091,1.3580511528512091,1.6365263594102242,0.05233122832830708,1.63745871696573,0.9481641468682506,1.0063056922750064,1.010643367496224,1.0049935396523588,2.1998798519434564,0.20600000000000002,0.788,0.007,Bayesian AR(1) sampled Z
2,AR1_SampledZ_Beta1_1_muSD5_HC2p5_sigY1p36_sigC1p36,"Beta(1,1)",5.0,2.5,0.9976570217298922,1.3580511528512091,1.3580511528512091,1.6365268855137314,0.052312841852515515,1.6374598326857628,0.9481641468682506,1.0063050068109995,1.010643367496224,1.0049935396523588,2.1998798519434564,0.20600000000000002,0.788,0.007,Bayesian AR(1) sampled Z
3,AR1_SampledZ_Beta1_1_muSD10_HC1p0_sigY1p36_sigC1p36,"Beta(1,1)",10.0,1.0,0.9981212050748078,1.3580511528512091,1.3580511528512091,1.6397160213116457,0.05833510541165271,1.640450520230886,0.9481641468682506,1.0349242629918753,1.2778382984738932,1.2045888821600943,3.161024540608529,0.1895,0.782,0.0085,Bayesian AR(1) sampled Z
4,AR1_SampledZ_Beta1_1_muSD5_HC1p0_sigY1p36_sigC1p36,"Beta(1,1)",5.0,1.0,0.9981212050748078,1.3580511528512091,1.3580511528512091,1.6397164626869996,0.05831667311030602,1.6404516191385379,0.9481641468682506,1.034918510571214,1.2778382984738932,1.2045888821600943,3.161024540608529,0.1895,0.782,0.0085,Bayesian AR(1) sampled Z
5,AR1_SampledZ_Beta1_1_muSD10_HC5p0_sigY1p36_sigC1p02,"Beta(1,1)",10.0,5.0,0.9989139696654807,1.3580511528512091,1.0185383646384067,1.6397860466087715,0.05663810364625828,1.6405802591036305,0.9460043196544277,1.005261992146265,1.0811762434551178,1.0319246555172696,1.2534729203063872,0.21300000000000002,0.725,0.006,Bayesian AR(1) sampled Z
6,AR1_SampledZ_Beta1_1_muSD5_HC5p0_sigY1p36_sigC1p02,"Beta(1,1)",5.0,5.0,0.9989139696654807,1.3580511528512091,1.0185383646384067,1.6397865191769134,0.056619419396001854,1.6405813787950043,0.9460043196544277,1.0052624197912654,1.0811762434551178,1.0319246555172696,1.2534729203063872,0.21300000000000002,0.725,0.006,Bayesian AR(1) sampled Z
7,AR1_SampledZ_Beta1_1_muSD10_HC5p0_sigY1p36_sigC1p36,"Beta(1,1)",10.0,5.0,0.9985739373779109,1.3580511528512091,1.3580511528512091,1.6398171613224233,0.05465360112447831,1.6406788802405405,0.9460043196544277,1.037946180101922,1.0160894016007036,1.118371583944485,1.5758747271829663,0.1905,0.7885,0.007166666666666667,Bayesian AR(1) sampled Z
8,AR1_SampledZ_Beta1_1_muSD5_HC5p0_sigY1p36_sigC1p36,"Beta(1,1)",5.0,5.0,0.9985739373779109,1.3580511528512091,1.3580511528512091,1.6398176515959413,0.05463520098034664,1.640679985478023,0.9460043196544277,1.037942753411518,1.0160894016007036,1.118371583944485,1.5758747271829663,0.1905,0.7885,0.007166666666666667,Bayesian AR(1) sampled Z
9,AR1_SampledZ_Beta1_1_muSD10_HC5p0_sigY1p36_sigC1p19,"Beta(1,1)",10.0,5.0,0.9990230171988953,1.3580511528512091,1.1882947587448078,1.6422339270600925,0.04914331356022694,1.643274016786012,0.9481641468682506,0.9995506553764989,1.1028356751036346,1.027342881040024,1.0607014223585347,0.20450000000000002,0.736,0.007666666666666667,Bayesian AR(1) sampled Z
10,AR1_SampledZ_Beta1_1_muSD5_HC5p0_sigY1p36_sigC1p19,"Beta(1,1)",5.0,5.0,0.9990230171988953,1.3580511528512091,1.1882947587448078,1.6422344591602336,0.04912499190167478,1.6432750987063445,0.9481641468682506,0.9995508831637729,1.1028356751036346,1.027342881040024,1.0607014223585347,0.20450000000000002,0.736,0.007666666666666667,Bayesian AR(1) sampled Z
