Model,Z,mu_prior_sd,tau_halfcauchy_scale,sigma_y_used,sigma_c_used,mu_mean,mu_sd,mu_2.5%,mu_97.5%,tau_mean,tau_sd,tau_2.5%,tau_97.5%,Rhat_mu,Rhat_tau,tau_accept_rate,Validation_RMSE,Validation_Bias,Validation_SE,Validation_Coverage
Ind_FixedZ0p9_muSD10_HC1p0_sigY1p7_sigC1p02,0.9,10.0,1.0,1.6975639410640113,1.0185383646384067,0.1501926780183623,0.039952246282573295,0.05942317353994382,0.20076668180093105,0.05624840149320658,0.008010226014969729,0.04530507255480232,0.07076975150153836,1.0333518217312785,2.8422311391031507,0.185,1.7715946783558068,-0.08000261083463985,1.7717016752884,0.9287257019438445
Ind_FixedZ0p9_muSD5_HC1p0_sigY1p7_sigC1p02,0.9,5.0,1.0,1.6975639410640113,1.0185383646384067,0.15019141304805422,0.03995165856290738,0.05942286659186038,0.20076410932679745,0.05624840149320658,0.008010226014969729,0.04530507255480232,0.07076975150153836,1.0333534302771465,2.8422311391031507,0.185,1.7715947351972243,-0.08000386953309518,1.7717016752884,0.9287257019438445
Ind_FixedZ0p9_muSD5_HC2p5_sigY1p7_sigC1p19,0.9,5.0,2.5,1.6975639410640113,1.1882947587448078,0.33943573949367084,0.05194827469916718,0.24242682960003947,0.4498913853182744,0.20468095978757844,0.09487282888917223,0.10076185378713438,0.36421888271178726,1.8243245420553993,6.407261954003062,0.20350000000000001,1.7716213048865492,0.1101001554634359,1.7701094211969508,0.9330453563714903
Ind_FixedZ0p9_muSD10_HC2p5_sigY1p7_sigC1p19,0.9,10.0,2.5,1.6975639410640113,1.1882947587448078,0.339446767179302,0.05195105683674401,0.2424312783441959,0.4499073994828624,0.20468095978757844,0.09487282888917223,0.10076185378713438,0.36421888271178726,1.8243972587793005,6.407261954003062,0.20350000000000001,1.771621986776824,0.11011112721343823,1.7701094211969508,0.9330453563714903
Ind_FixedZ0p9_muSD5_HC2p5_sigY1p36_sigC1p02,0.9,5.0,2.5,1.3580511528512091,1.0185383646384067,0.3639416405379535,0.027802044843939312,0.305766364573574,0.4171408461415723,0.43519256325700106,0.057796899191777745,0.3453087389627758,0.5576795196091883,0.9994967411324812,1.0087718308407343,0.2255,1.771656527616155,0.13498293892204838,1.7684176225110873,0.8898488120950324
Ind_FixedZ0p9_muSD10_HC2p5_sigY1p36_sigC1p02,0.9,10.0,2.5,1.3580511528512091,1.0185383646384067,0.363951228327642,0.027802361685043325,0.3057749667387094,0.41715120490397706,0.43519256325700106,0.057796899191777745,0.3453087389627758,0.5576795196091883,0.9994967286204255,1.0087718308407343,0.2255,1.7716572446199792,0.13499234930009346,1.7684176225110873,0.8898488120950324
Ind_FixedZ0p9_muSD5_HC2p5_sigY2p04_sigC1p02,0.9,5.0,2.5,2.0370767292768135,1.0185383646384067,0.37562364202547166,0.03799165401848553,0.2981931668860548,0.4424649192480462,0.2670988055025696,0.04971699152699386,0.18834376773991948,0.3579862604201079,1.2744298928697677,1.1748908689002204,0.20450000000000002,1.7717442091218483,0.1469677014210605,1.7675479697183125,0.9697624190064795
Ind_FixedZ0p9_muSD10_HC2p5_sigY2p04_sigC1p02,0.9,10.0,2.5,2.0370767292768135,1.0185383646384067,0.37563911880054013,0.03799240288750278,0.2982069919429001,0.4424817463894388,0.2670988055025696,0.04971699152699386,0.18834376773991948,0.3579862604201079,1.2744371321572188,1.1748908689002204,0.20450000000000002,1.7717454842698332,0.14698307295308552,1.7675479697183125,0.9697624190064795
Ind_FixedZ0p9_muSD5_HC2p5_sigY1p36_sigC1p19,0.9,5.0,2.5,1.3580511528512091,1.1882947587448078,0.3508737057010053,0.0315175218749896,0.2976300429855104,0.41524061928485506,0.23690155130044868,0.05107177984934334,0.17084091141175278,0.31867054271508766,1.3880881298296786,4.575721285876681,0.179,1.771907801446202,0.1198065056557246,1.769765064792784,0.8898488120950324
Ind_FixedZ0p9_muSD10_HC2p5_sigY1p36_sigC1p19,0.9,10.0,2.5,1.3580511528512091,1.1882947587448078,0.3508828586627316,0.03151819038221735,0.29763862930710466,0.4152507326740728,0.23690155130044868,0.05107177984934334,0.17084091141175278,0.31867054271508766,1.3881093766783243,4.575721285876681,0.179,1.7719084174419184,0.1198156157311983,1.769765064792784,0.8898488120950324
Ind_FixedZ0p9_muSD5_HC1p0_sigY2p04_sigC1p02,0.9,5.0,1.0,2.0370767292768135,1.0185383646384067,0.37436941502162,0.037332073460094595,0.3049041362950599,0.45181762185126306,0.2001727057228843,0.0740955217312751,0.10331109923165957,0.3754922645603728,1.3661490637609577,2.1612785031975954,0.198,1.772137376941733,0.14478021511858682,1.7681237958030709,0.9654427645788337
Ind_FixedZ0p9_muSD10_HC1p0_sigY2p04_sigC1p02,0.9,10.0,1.0,2.0370767292768135,1.0185383646384067,0.3743837148737938,0.03733357916056115,0.30491841706881595,0.4518344673916605,0.2001727057228843,0.0740955217312751,0.10331109923165957,0.3754922645603728,1.3661814873847378,2.1612785031975954,0.198,1.7721385391699118,0.14479444031843008,1.7681237958030709,0.9654427645788337
Ind_FixedZ0p9_muSD5_HC5p0_sigY1p7_sigC1p36,0.9,5.0,5.0,1.6975639410640113,1.3580511528512091,0.35458206024900585,0.03896005785710806,0.28265403210006235,0.4317073377091573,0.3056933083477993,0.06712070499505496,0.22027364273736896,0.43509993286748,1.1195451926451263,1.0259175129425708,0.217,1.772847897084814,0.12521442068746952,1.770333326385485,0.9352051835853131
Ind_FixedZ0p9_muSD10_HC5p0_sigY1p7_sigC1p36,0.9,10.0,5.0,1.6975639410640113,1.3580511528512091,0.354596120188254,0.03896088615071843,0.28266720998627426,0.43172285312703007,0.3056933083477993,0.06712070499505496,0.22027364273736896,0.43509993286748,1.119549514501811,1.0259175129425708,0.217,1.7728488847384207,0.12522840360043397,1.770333326385485,0.9352051835853131
Ind_FixedZ0p9_muSD5_HC5p0_sigY1p36_sigC1p36,0.9,5.0,5.0,1.3580511528512091,1.3580511528512091,0.344167824281817,0.03127677649813021,0.28237899625674745,0.40428869707938664,0.568448746110366,0.04642673217030229,0.49704428344413176,0.66047117867398,1.00438023365441,1.0840985487510637,0.216,1.7733072676618342,0.11448357459110999,1.7715220409511518,0.9028077753779697
Ind_FixedZ0p9_muSD10_HC5p0_sigY1p36_sigC1p36,0.9,10.0,5.0,1.3580511528512091,1.3580511528512091,0.3441787383371302,0.031277231536895087,0.2823900023813979,0.40429999475340056,0.568448746110366,0.04642673217030229,0.49704428344413176,0.66047117867398,1.0043801016511151,1.0840985487510637,0.216,1.7733079600861108,0.11449429948098176,1.7715220409511518,0.9028077753779697
Ind_FixedZ0p9_muSD5_HC1p0_sigY1p36_sigC0p849,0.9,5.0,1.0,1.3580511528512091,0.8487819705320057,0.380400325070697,0.025741677847697694,0.3285610912450978,0.43159516108348756,0.37219737665683666,0.036836455327212754,0.3235852995993151,0.45409915453562055,1.001637042913182,1.0566018516804854,0.20600000000000002,1.7739690678510598,0.15430148628769128,1.7691572529791035,0.8855291576673866
Ind_FixedZ0p9_muSD10_HC1p0_sigY1p36_sigC0p849,0.9,10.0,1.0,1.3580511528512091,0.8487819705320057,0.3804090796291516,0.025741909594113106,0.328569440437124,0.43160447087340453,0.37219737665683666,0.036836455327212754,0.3235852995993151,0.45409915453562055,1.0016371930094736,1.0566018516804854,0.20600000000000002,1.7739698148667196,0.1543100743195181,1.7691572529791035,0.8855291576673866
Ind_FixedZ0p9_muSD5_HC5p0_sigY2p04_sigC1p36,0.9,5.0,5.0,2.0370767292768135,1.3580511528512091,0.3769436773587106,0.04454872459679907,0.2900408750965483,0.4625022854522538,0.27681908871706656,0.05064518253853104,0.21402182417551188,0.40690320986922174,1.1710470959934556,1.0335494909764673,0.22,1.774155437739854,0.14864586125203397,1.7698296940134772,0.9632829373650108
Ind_FixedZ0p9_muSD10_HC5p0_sigY2p04_sigC1p36,0.9,10.0,5.0,2.0370767292768135,1.3580511528512091,0.37696303569955536,0.044549767718504704,0.2900596328568704,0.46252493058005895,0.27681908871706656,0.05064518253853104,0.21402182417551188,0.40690320986922174,1.1710544044873883,1.0335494909764673,0.22,1.774157052640632,0.14866513458091132,1.7698296940134775,0.9632829373650108
Ind_FixedZ0p9_muSD5_HC5p0_sigY1p36_sigC1p02,0.9,5.0,5.0,1.3580511528512091,1.0185383646384067,0.36339586424219944,0.026467704818568374,0.314916944228209,0.4193710666514549,0.3558665607697872,0.08561449502082512,0.24730996910664907,0.4843162603847726,1.014246360780398,3.42445717169394,0.2015,1.7742862486833182,0.13560330043410976,1.7710103576891127,0.8876889848812095
Ind_FixedZ0p9_muSD10_HC5p0_sigY1p36_sigC1p02,0.9,10.0,5.0,1.3580511528512091,1.0185383646384067,0.3634051852660554,0.026467976935804067,0.3149261515108458,0.4193802188962252,0.3558665607697872,0.08561449502082512,0.24730996910664907,0.4843162603847726,1.014244388904828,3.42445717169394,0.2015,1.7742869519842994,0.135612502386903,1.7710103576891127,0.8876889848812095
Ind_FixedZ0p9_muSD5_HC5p0_sigY1p7_sigC1p02,0.9,5.0,5.0,1.6975639410640113,1.0185383646384067,0.37845436168682156,0.03985166908297507,0.2957256849606946,0.4426206213182802,0.2574773742102732,0.058779220529099604,0.17490831311317398,0.3825888406235446,1.2342406125697183,1.0377744549090184,0.21050000000000002,1.7746758517565813,0.14761311522091713,1.7704391058230537,0.9352051835853131
Ind_FixedZ0p9_muSD10_HC5p0_sigY1p7_sigC1p02,0.9,10.0,5.0,1.6975639410640113,1.0185383646384067,0.37846708650453137,0.039852492942381836,0.2957373356746529,0.4426345946491057,0.2574773742102732,0.058779220529099604,0.17490831311317398,0.3825888406235446,1.234244694580599,1.0377744549090184,0.21050000000000002,1.7746769032632939,0.14762575640271003,1.7704391058230537,0.9352051835853131
Ind_FixedZ0p9_muSD5_HC1p0_sigY1p36_sigC1p19,0.9,5.0,1.0,1.3580511528512091,1.1882947587448078,0.36009023307383986,0.02973798248436039,0.2977271188697583,0.41868058499286165,0.41428177639776714,0.037790248831651586,0.34118678795683643,0.48276931200208106,0.9994011608568785,1.626883186141627,0.1925,1.7748483223427634,0.13097862053012632,1.7719233630667948,0.8941684665226782
Ind_FixedZ0p9_muSD10_HC1p0_sigY1p36_sigC1p19,0.9,10.0,1.0,1.3580511528512091,1.1882947587448078,0.3601003601828435,0.029738355590588388,0.29773602475266814,0.41869150807978084,0.41428177639776714,0.037790248831651586,0.34118678795683643,0.48276931200208106,0.9994012235954186,1.626883186141627,0.1925,1.7748490605910092,0.13098862391002275,1.7719233630667948,0.8941684665226782
Ind_FixedZ0p9_muSD5_HC1p0_sigY1p36_sigC1p36,0.9,5.0,1.0,1.3580511528512091,1.3580511528512091,0.349999407063617,0.031336965964125406,0.2813093185319154,0.4065490331293065,0.5267990250726473,0.035162536543883176,0.4688041367798145,0.6209673250219419,1.0379835482218154,1.0614122120864824,0.195,1.7750501192779535,0.12029287178285192,1.7728849792194739,0.896328293736501
Ind_FixedZ0p9_muSD10_HC1p0_sigY1p36_sigC1p36,0.9,10.0,1.0,1.3580511528512091,1.3580511528512091,0.35001027970231585,0.031337363742786166,0.2813199567711676,0.4065601305422292,0.5267990250726473,0.035162536543883176,0.4688041367798145,0.6209673250219419,1.0379839219113414,1.0614122120864824,0.195,1.7750508452519256,0.12030358383133839,1.772884979219474,0.896328293736501
Ind_FixedZ0p9_muSD5_HC2p5_sigY2p04_sigC0p849,0.9,5.0,2.5,2.0370767292768135,0.8487819705320057,0.3959004032410072,0.038892925555698094,0.3142373439182215,0.4642178192087658,0.22610148212548378,0.057067406276333804,0.1545034054342447,0.36992414460364853,1.2124269470423519,1.237215563077805,0.199,1.775078541470521,0.16513790132646114,1.7692920654820539,0.9654427645788337
Ind_FixedZ0p9_muSD10_HC2p5_sigY2p04_sigC0p849,0.9,10.0,2.5,2.0370767292768135,0.8487819705320057,0.3959138822821548,0.038893545468625744,0.3142503267638722,0.4642313976222864,0.22610148212548378,0.057067406276333804,0.1545034054342447,0.36992414460364853,1.2124310490555985,1.237215563077805,0.199,1.775079786522821,0.16515128394081702,1.769292065482054,0.9654427645788337
Ind_FixedZ0p9_muSD5_HC5p0_sigY1p36_sigC1p19,0.9,5.0,5.0,1.3580511528512091,1.1882947587448078,0.3573530296841461,0.029173297561756108,0.2992232674438217,0.41538554220049667,0.4807779624030338,0.07348940246563238,0.3526428838719384,0.5956863640654506,1.0051059224310224,1.2274322278736485,0.21200000000000002,1.7751610079919817,0.13034976126372624,1.7722837071749131,0.896328293736501
Ind_FixedZ0p9_muSD10_HC5p0_sigY1p36_sigC1p19,0.9,10.0,5.0,1.3580511528512091,1.1882947587448078,0.3573633920347317,0.029173666232779467,0.29923253210499384,0.4153968566171749,0.4807779624030338,0.07348940246563238,0.3526428838719384,0.5956863640654506,1.0051069278005866,1.2274322278736485,0.21200000000000002,1.7751617563423323,0.13035995223532637,1.7722837071749131,0.896328293736501
Ind_FixedZ0p9_muSD5_HC2p5_sigY1p7_sigC1p36,0.9,5.0,2.5,1.6975639410640113,1.3580511528512091,0.35903360458111805,0.03579507916068645,0.2922906251464034,0.42701037135703845,0.31200128021822077,0.045198991020608266,0.21841228168941276,0.40220076157452544,1.000160006838183,1.4182998774115996,0.21000000000000002,1.7754374451415882,0.12909649228046244,1.7726531077097178,0.9352051835853131
Ind_FixedZ0p9_muSD10_HC2p5_sigY1p7_sigC1p36,0.9,10.0,2.5,1.6975639410640113,1.3580511528512091,0.3590480489018526,0.035795690923942705,0.2923047207806102,0.4270264154895263,0.31200128021822077,0.045198991020608266,0.21841228168941276,0.40220076157452544,1.00016014882325,1.4182998774115996,0.21000000000000002,1.7754384900913194,0.1291108624631322,1.772653107709718,0.9352051835853131
Ind_FixedZ0p9_muSD5_HC2p5_sigY1p36_sigC1p36,0.9,5.0,2.5,1.3580511528512091,1.3580511528512091,0.34707653044971415,0.0371535290615102,0.2753223987323359,0.41852564406129056,0.532505001953946,0.043455213955263396,0.4366492055603443,0.6161027365415284,0.9995964583988511,1.0397167646297292,0.1985,1.7755008904237326,0.1180590547847557,1.7734877182504052,0.896328293736501
Ind_FixedZ0p9_muSD10_HC2p5_sigY1p36_sigC1p36,0.9,10.0,2.5,1.3580511528512091,1.3580511528512091,0.34708735875669555,0.037154158644889114,0.2753331034730176,0.4185370282845618,0.532505001953946,0.043455213955263396,0.4366492055603443,0.6161027365415284,0.9995965203764899,1.0397167646297292,0.1985,1.7755015995918706,0.11806971954948196,1.7734877182504052,0.896328293736501
Ind_FixedZ0p9_muSD5_HC1p0_sigY1p7_sigC1p36,0.9,5.0,1.0,1.6975639410640113,1.3580511528512091,0.3542891620626801,0.03812512019521851,0.2744145047066482,0.4184804743130099,0.3329745025783095,0.04688143286206091,0.2515033821789027,0.4224922787800932,1.0103360224556477,1.0158780680025,0.20700000000000002,1.7755501596808974,0.13146585181628118,1.7725917331348395,0.9352051835853131
