mu_chain_1,tau_chain_1,phi_chain_1,mu_chain_2,tau_chain_2,phi_chain_2,mu_chain_3,tau_chain_3,phi_chain_3,mu_chain_4,tau_chain_4,phi_chain_4
0.3784321789780861,0.2548695374613198,0.5492803149382839,0.42936773733666894,0.13648081618527858,0.3151915256820919,0.44730793094409815,0.2380002185696438,0.33427046014800665,0.44531924790581545,0.17432477353525772,0.5159714027857996
0.36105080424489894,0.2548695374613198,0.546905215679746,0.435783900869517,0.13648081618527858,0.3151915256820919,0.44265182222735416,0.2380002185696438,0.33427046014800665,0.44517773304497776,0.18032315096809187,0.5159714027857996
0.35923665039191605,0.2548695374613198,0.546905215679746,0.42999622398921,0.13648081618527858,0.2901243994924754,0.4349544193054281,0.2380002185696438,0.2644569844611014,0.44512940983486404,0.18032315096809187,0.5159714027857996
0.3716623546890957,0.2548695374613198,0.546905215679746,0.42896667154080753,0.13648081618527858,0.29091478586706976,0.44571136127675876,0.2380002185696438,0.26445698446110133,0.4459152455316036,0.18032315096809187,0.502202604892069
0.36385502351988847,0.2548695374613198,0.5456567377766877,0.42553900647819476,0.13648081618527858,0.29091478586706976,0.44159564043876365,0.2380002185696438,0.2946177279244781,0.44925390628178635,0.17463763062638898,0.502202604892069
0.3664266078230657,0.2513932932360015,0.5456567377766877,0.4237638409667253,0.13648081618527858,0.2760397935631695,0.4388936293609414,0.2380002185696438,0.28368769966669094,0.4440717821610071,0.17463763062638898,0.502202604892069
0.3530356428832739,0.25377699508418455,0.5403636667517476,0.4199588806777023,0.13730124857917386,0.2760397935631695,0.4335661809956136,0.24131934289473783,0.283687699666691,0.43417533266562525,0.17463763062638898,0.502202604892069
0.3603447556245335,0.25377699508418455,0.5345462278509832,0.42558876415738744,0.13730124857917386,0.2760397935631695,0.43564253704940603,0.24131934289473783,0.36669094180346923,0.43467470620014886,0.17463763062638898,0.4917490883731465
0.35747554712866847,0.25377699508418455,0.5345462278509832,0.42571965544591417,0.13730124857917386,0.3016720615751604,0.43559294039609037,0.24800969336236764,0.3861607953171939,0.43862022104549275,0.17463763062638898,0.5378861018712165
0.354916591116639,0.25377699508418455,0.5345462278509832,0.42564003793479444,0.13730124857917386,0.30167206157516047,0.4343203553566109,0.24732409116398618,0.383249547836949,0.4335811519163409,0.17463763062638898,0.5540269946013883
0.36383915597179434,0.25377699508418455,0.5082754838241326,0.41850086121404817,0.137115551921673,0.30167206157516047,0.43260063439271723,0.24732409116398618,0.34828072868649235,0.4406138815551739,0.17463763062638898,0.5540269946013882
0.34698695474489977,0.25377699508418455,0.5082754838241326,0.4234794314143153,0.137115551921673,0.30167206157516047,0.4361242836934519,0.24732409116398618,0.34828072868649235,0.43304221155434275,0.17463763062638898,0.5540269946013882
0.3581479606658553,0.25377699508418455,0.5082754838241326,0.42693214602135204,0.137115551921673,0.29180607162016187,0.4397482229189057,0.24732409116398618,0.34828072868649235,0.43237909420849874,0.17463763062638898,0.5540269946013882
0.3612186119631829,0.25377699508418455,0.5333442760628541,0.42145941618800126,0.137115551921673,0.29180607162016187,0.4500747156880711,0.24732409116398618,0.34828072868649235,0.4256734731231753,0.17463763062638898,0.5204084186376416
0.37038070244389976,0.24905201847270445,0.5333442760628541,0.42595659546552844,0.137115551921673,0.29180607162016187,0.4386084037204267,0.24733231501874636,0.3761701991822406,0.42125346733960695,0.17463763062638898,0.5204084186376416
0.3698303017939685,0.24905201847270445,0.5314233356901199,0.42036224375217723,0.1344230859490562,0.3047656664020943,0.4430895921680287,0.24733231501874636,0.3761701991822406,0.4256947143086791,0.17463763062638898,0.5226487153308106
0.3767827826503342,0.24905201847270445,0.6133117276462797,0.42193459196643546,0.13662802650143016,0.3172266953996864,0.4476463273482491,0.24733231501874636,0.3761701991822406,0.4149964385638857,0.17463763062638898,0.46546504515266085
0.36478804303080653,0.24905201847270445,0.5496852506121513,0.4199073226994428,0.13662802650143016,0.3172266953996864,0.4423114935453692,0.24733231501874636,0.3948016497991219,0.4128748796718536,0.17463763062638898,0.4654650451526608
0.3782825382466575,0.24905201847270445,0.5543190416058991,0.423327485992005,0.13662802650143016,0.3490271593106214,0.44639737011823566,0.24733231501874636,0.3948016497991219,0.41529343084827874,0.17463763062638898,0.4654650451526608
0.3836301200462622,0.24905201847270445,0.5543190416058991,0.4257466059371777,0.1384475452250767,0.3437213041225387,0.44197203729055334,0.24733231501874636,0.3948016497991219,0.41612437046318873,0.17463763062638898,0.4654650451526608
0.3742526394021682,0.24746779299560967,0.5543190416058991,0.42164014014450063,0.1384475452250767,0.3985998217961756,0.44716251028889814,0.24733231501874636,0.42706849796666435,0.41918097897180356,0.17463763062638898,0.4654650451526608
0.3769775891897045,0.24746779299560967,0.5702534232018498,0.4293042647959057,0.1384475452250767,0.39960340660606714,0.45622230809304476,0.24733231501874636,0.4270684979666643,0.41918154898634924,0.17463763062638898,0.4654650451526608
0.381877370431294,0.24746779299560967,0.6385109021634287,0.43000626955224713,0.1384475452250767,0.39960340660606714,0.44689630421530757,0.24733231501874636,0.40642656184686776,0.41428426856303546,0.17463763062638898,0.4654650451526608
0.37590608590490926,0.24746779299560967,0.6385109021634287,0.4267367325819729,0.1384475452250767,0.39960340660606714,0.4409657804760943,0.24733231501874636,0.40642656184686776,0.4107365847918333,0.1753055672833887,0.4654650451526608
0.3764518824304523,0.2431855389524658,0.6385109021634287,0.43344782231591633,0.1384475452250767,0.4265425160795406,0.44820742557899873,0.24733231501874636,0.40642656184686776,0.42061866332512116,0.17537358845772014,0.4654650451526608
0.38736204673382013,0.2431855389524658,0.6385109021634287,0.43314715958965366,0.1384475452250767,0.43248453993023545,0.4609819086923698,0.24733231501874636,0.40642656184686776,0.40958161619640504,0.17537358845772014,0.4654650451526608
0.3837093285504928,0.2431855389524658,0.5851529632760452,0.4368311609724822,0.1384475452250767,0.3819485580241556,0.4639629135786831,0.24733231501874636,0.40642656184686776,0.41833551665578134,0.17351305249283908,0.45439301506828755
0.38067571569269637,0.2431855389524658,0.5851529632760452,0.4296829902660043,0.1384475452250767,0.42227591959144006,0.4572571353893318,0.24733231501874636,0.40642656184686776,0.4139594200263312,0.17351305249283908,0.45439301506828755
0.37821329571411766,0.2431855389524658,0.5888819190293745,0.43137459042672915,0.1384475452250767,0.4157516187115126,0.4582779834448859,0.26175562432778915,0.40642656184686776,0.4199917671304005,0.17363505268439663,0.4596184433402605
0.372572286001573,0.2431855389524658,0.6120818978171674,0.4242606132306246,0.13595274854682143,0.4157516187115126,0.45761897215404296,0.2560325218611795,0.318569547566861,0.41576246602418343,0.17363505268439663,0.4456022353156861
0.37700481744054065,0.2431855389524658,0.6389034148571193,0.42562025681953247,0.13595274854682143,0.4157516187115126,0.4671801449793809,0.2560325218611795,0.3208969563624388,0.41231283114515377,0.17363505268439663,0.44560223531568605
0.3830251967363195,0.2431855389524658,0.6389034148571193,0.4229816240182821,0.13595274854682143,0.4157516187115126,0.46512119318223877,0.2560325218611795,0.3208969563624388,0.4064869022714092,0.17363505268439663,0.44560223531568605
0.39011451626394805,0.23563680437491563,0.6389034148571193,0.41981152870797867,0.13595274854682143,0.4157516187115126,0.4664464910982261,0.2560325218611795,0.3208969563624388,0.40561211572747546,0.17363505268439663,0.4266947403133358
