Model,Z,mu_prior_sd,tau_halfcauchy_scale,mu_mean,mu_sd,mu_2.5%,mu_97.5%,tau_mean,tau_sd,tau_2.5%,tau_97.5%,phi_mean,phi_sd,phi_2.5%,phi_97.5%,Rhat_mu,Rhat_tau,Rhat_phi,tau_accept_rate,phi_accept_rate,Validation_RMSE,Validation_Bias,Validation_SE,Validation_Coverage
AR1_FixedZ0.5_muSD5_HC5.0,0.5,5.0,5.0,0.42850230715914917,0.026147667594581668,0.3732107474767771,0.4761162353050528,0.13542741553985618,0.03997712683937648,0.06608214147619444,0.23485750206263942,0.5141645915688253,0.21120332193165686,0.09041768009300517,0.8814555235636244,1.0194208617670653,1.543811809111436,1.1360437018405138,0.19225,0.39925,1.7784427353195589,0.19574815792690223,1.7695491792307176,0.9330453563714903
AR1_FixedZ0.5_muSD10_HC5.0,0.5,10.0,5.0,0.4285140221493615,0.026147922712436468,0.37322187207802915,0.47612831215346696,0.13542741553985618,0.03997712683937648,0.06608214147619444,0.23485750206263942,0.5141645915688253,0.21120332193165686,0.09041768009300517,0.8814555235636244,1.0194218015773233,1.543811809111436,1.1360437018405138,0.19225,0.39925,1.7784440033816238,0.19575974146901526,1.769549172237821,0.9330453563714903
AR1_FixedZ0.5_muSD5_HC1.0,0.5,5.0,1.0,0.423204067930503,0.032274555534643284,0.3604422438550825,0.49179213043597936,0.12229809943577961,0.03927979583173378,0.067549747527375,0.19521380598245064,0.5814940019799475,0.2447857074877539,0.05470275623352384,0.922193761648211,1.0700290459686659,1.2556166977630674,1.4722727448386363,0.18741666666666668,0.4485,1.7789083285366236,0.19202031562836996,1.7704273014874732,0.937365010799136
AR1_FixedZ0.5_muSD10_HC1.0,0.5,10.0,1.0,0.4232156661399856,0.032275023624733314,0.36045328440724234,0.4918047256781425,0.12229809943577961,0.03927979583173378,0.067549747527375,0.19521380598245064,0.5814940019799475,0.2447857074877539,0.05470275623352384,0.922193761648211,1.0700313740960141,1.2556166977630674,1.4722727448386363,0.18741666666666668,0.4485,1.778909560165516,0.19203179314881824,1.7704272941132584,0.937365010799136
AR1_FixedZ0.5_muSD5_HC2.5,0.5,5.0,2.5,0.42021167140992244,0.03147450495252354,0.3587202677366389,0.47506202917422197,0.11176215396131242,0.028400334940732134,0.04835928463234355,0.16888654483601834,0.3083070321572853,0.3094365738214801,-0.2950169733782931,0.8592975962742494,1.0581657399298832,1.4427218967941966,1.3868460866721486,0.19175,0.3769166666666667,1.7798863656056692,0.18881019326301532,1.771757928015897,0.937365010799136
AR1_FixedZ0.5_muSD10_HC2.5,0.5,10.0,2.5,0.4202230726937548,0.03147494767188552,0.3587312218551372,0.4750737644396182,0.11176215396131242,0.028400334940732134,0.04835928463234355,0.16888654483601834,0.3083070321572853,0.3094365738214801,-0.2950169733782931,0.8592975962742494,1.0581677169256105,1.4427218967941966,1.3868460866721486,0.19175,0.3769166666666667,1.7798875663329263,0.18882153361019724,1.7717579257088787,0.937365010799136
