mu_chain_1,tau_chain_1,phi_chain_1,mu_chain_2,tau_chain_2,phi_chain_2
0.3866911477499203,0.5752709660911887,0.9125744628525413,0.427320800161994,0.5808911802701145,0.8191923070000335
0.4164659337027894,0.5752709660911887,0.9125744628525413,0.3968578605280776,0.5750090841258407,0.8191923070000335
0.35560660720900666,0.5455348990756761,0.905886773374904,0.40569531961093547,0.5750090841258407,0.8280482105956429
0.3627174750260391,0.5455348990756761,0.905886773374904,0.4114990988534996,0.5750090841258407,0.8572077165828368
0.4064857875189643,0.5455348990756761,0.9053237061291461,0.4251913619259645,0.5750090841258407,0.8653300241961949
0.37530794679875573,0.5455348990756761,0.9053237061291461,0.40494534206721977,0.5715973947591783,0.8697307080238676
0.3448332048949639,0.5455348990756761,0.9053237061291461,0.3863833535345505,0.5715973947591783,0.8339894824297531
0.37803086933366375,0.5453402099526303,0.8823944959254596,0.4307535811795856,0.5715973947591783,0.822503772986897
0.3852931151579908,0.5453402099526303,0.8688107684531892,0.40764936442066163,0.5715973947591783,0.8527268663302564
0.39350633629641696,0.5453402099526303,0.8779594704615072,0.4137631964032891,0.5715973947591783,0.8503353462220666
0.3573714496484864,0.5453402099526303,0.8885351615234056,0.39833321152053924,0.5715973947591783,0.8611461146672724
0.38194910228707407,0.5453402099526303,0.8699467764572468,0.3860566566820244,0.5715973947591783,0.8796150878231359
0.3496477645798289,0.5453402099526303,0.8699467764572468,0.3654912500886805,0.5715973947591783,0.8909448692062402
0.3724354810807182,0.5503981337903106,0.8699467764572468,0.40411027324123777,0.5715973947591783,0.893504962827095
0.34463400311449477,0.5503981337903106,0.864630455713673,0.38174815443977483,0.5617930107833323,0.8886469287224668
0.3342755211853284,0.5503981337903106,0.8776617623057971,0.4163395883133603,0.5617930107833323,0.8886469287224668
0.32665168634015473,0.5503981337903106,0.8976810561249267,0.4535431598071583,0.5828810626991875,0.9004378646216549
0.3153012261906755,0.5503981337903106,0.9025604787626992,0.42563541420115897,0.5828810626991875,0.9046097091289325
0.3283443142286708,0.5503981337903106,0.9025604787626992,0.4175214917901432,0.5828810626991875,0.8839567031529098
0.3929260854481248,0.5503981337903106,0.8734052272663847,0.4814628086600495,0.5828810626991875,0.8758884710952973
0.3866991881214731,0.5503981337903106,0.8734052272663847,0.43655219295761805,0.5828810626991875,0.8921028219244529
0.3914718909479892,0.5503981337903106,0.8734052272663847,0.43982982082817623,0.5828810626991875,0.8921028219244529
0.38988142950813837,0.5503981337903106,0.8927303583894556,0.4568750505128951,0.5828810626991875,0.9019441568640172
0.40873313098237524,0.5503981337903106,0.8956443197776869,0.46266046392558463,0.5828810626991875,0.9019441568640172
0.3958509588395562,0.5537401069946573,0.8976080732978389,0.4648090140245703,0.5828810626991875,0.8968269207756508
0.41119554706208855,0.5537401069946573,0.9120893705785564,0.4316944853982798,0.5828810626991875,0.8734290287438032
0.3807004179765765,0.5537401069946573,0.9211829418745143,0.443918464494656,0.5828810626991875,0.8638582471926315
0.39213248896646397,0.5537401069946573,0.9211829418745143,0.4501664612222717,0.5828810626991875,0.8798356490564916
0.4322423027771176,0.5537401069946573,0.9209059349302219,0.4530655160429987,0.5828810626991875,0.8798356490564916
0.3916838720316312,0.5537401069946573,0.9278407114694326,0.4550707033025947,0.5828810626991875,0.8768145076994994
0.40916896480229814,0.5537401069946573,0.9191300538087298,0.48834931238206,0.5828810626991875,0.8902197694106943
0.4324530032099145,0.5537401069946573,0.9121205292335569,0.4647683937806246,0.5828810626991875,0.9122403024889737
0.40319336216823043,0.5537401069946573,0.9121205292335569,0.4387559518851997,0.5828810626991875,0.924430021320984
0.39462838448395154,0.5537401069946573,0.915885495030395,0.41811513052397886,0.5828810626991875,0.9223234846861788
0.3781793373821927,0.5537401069946573,0.915885495030395,0.3980073141306702,0.5805548438233064,0.9223234846861788
0.36867663273421414,0.5537401069946573,0.915885495030395,0.43434835954491335,0.5687855830211268,0.9262151696926982
0.41083945688246665,0.5537401069946573,0.9202193196442587,0.468969816924165,0.5825412451218228,0.9262151696926982
0.4011886855783961,0.5537401069946573,0.9247063743392824,0.401271891320016,0.5808179148279456,0.9394793147481072
0.43117839276369146,0.5537401069946573,0.926041703823297,0.39964542988231455,0.5808179148279456,0.9394793147481072
0.42381034884500196,0.5537401069946573,0.9398125280225832,0.44929198625977806,0.5808179148279456,0.9480382802626522
0.4031470831865459,0.5537401069946573,0.9373654089313439,0.456007566972202,0.5808179148279456,0.9436914370833436
0.4110643541559726,0.5537401069946573,0.9353040955302278,0.4389571883727651,0.5808179148279456,0.9241645749106382
0.419397859034403,0.5537401069946573,0.9354014251379613,0.44700428780667756,0.5941423250903165,0.9212554719579401
0.4228120840946985,0.5537401069946573,0.9249349210987922,0.4519093655746877,0.5941423250903165,0.9212554719579401
0.43742988113240017,0.5462697198189971,0.9366543006919604,0.4060370395265853,0.5941423250903165,0.924132511487064
0.4010745969613665,0.5462697198189971,0.9366543006919604,0.38374490840320086,0.5941423250903165,0.9128931933263753
0.43326370268823616,0.5462697198189971,0.941920609212815,0.41351400331989263,0.5941423250903165,0.9128931933263753
0.37837327788738906,0.5462697198189971,0.93575084727468,0.38241520777128035,0.5787380757754494,0.9128931933263753
0.3718471549208307,0.5462697198189971,0.93575084727468,0.4002098379923599,0.5673135105862507,0.9280889017492312
0.3696124692841404,0.5462697198189971,0.9275601313505052,0.38258585507849013,0.5673135105862507,0.9334737779175416
0.3771285711114512,0.5462697198189971,0.9393562804359078,0.3686578688969049,0.5673135105862507,0.9284459679629647
0.3756258664672895,0.5462697198189971,0.9256881286976812,0.3486816437470721,0.5673135105862507,0.9209312249389797
0.3662138726474292,0.5462697198189971,0.9199928182517823,0.38094044475791,0.5673135105862507,0.9294486703288937
0.38219669250944444,0.5462697198189971,0.9199928182517823,0.371416336004539,0.5673135105862507,0.9196456712976387
0.42217709642123574,0.5507470142915424,0.9148652598111758,0.3699737890010219,0.5767472149872191,0.9298616375743473
0.4090278968852129,0.5507470142915424,0.9294770880995208,0.36012356869352236,0.5767472149872191,0.9302034253570318
0.37671302898968906,0.5507470142915424,0.9266087351798509,0.3842515856545347,0.5767472149872191,0.9317786961185414
0.38724100638333725,0.5507470142915424,0.9266087351798509,0.34267009539164317,0.5767472149872191,0.9187861336410953
0.3950337083414859,0.5507470142915424,0.9266087351798509,0.3592044215981212,0.5767472149872191,0.9102054710584887
0.4159762747761372,0.5451754614879888,0.9129680919140263,0.39079822164488165,0.5767472149872191,0.895517708992637
0.39182570036112785,0.5451754614879888,0.923352682719609,0.3601619278828213,0.5767472149872191,0.895517708992637
0.43165968630060675,0.5451754614879888,0.9209058871081663,0.3341285432045429,0.5767472149872191,0.9006470885553925
0.4014211687527379,0.5451754614879888,0.9226106273998921,0.3084944871773748,0.5767472149872191,0.9117961763948033
0.4082609767616867,0.5451754614879888,0.897295620039033,0.34696151697322125,0.5528723789903095,0.8976872427845198
0.3572405548586227,0.5451754614879888,0.8872118970449054,0.3232202976549859,0.5528723789903095,0.9052121514378861
0.37256953295347434,0.5451754614879888,0.8960199140531466,0.31011233249131115,0.5528723789903095,0.9019848226700642
0.37948517663176806,0.5530640845101719,0.8896648161562591,0.32269135556987427,0.5528723789903095,0.8895038932952263
0.3764840533156394,0.5530640845101719,0.8896648161562591,0.33178467648829935,0.5528723789903095,0.8659814098581322
0.3307675648698446,0.5604897257437126,0.8871248551197582,0.3423514333253709,0.5528723789903095,0.8807482644818762
0.31869020638648743,0.5604897257437126,0.8738715365958657,0.36686850292418205,0.5528723789903095,0.8790110177771023
0.3096322177124009,0.5604897257437126,0.8776916491696368,0.37554814291201355,0.5528723789903095,0.8790110177771023
0.31022032293510127,0.5604897257437126,0.8609003405450826,0.3584869819990614,0.5528723789903095,0.8782595805120235
0.34407882428313763,0.5604897257437126,0.8174363632530761,0.35070247518029574,0.5444749672576709,0.86480277546631
0.3750998605054607,0.5604897257437126,0.8174363632530761,0.3676871573846563,0.5444749672576709,0.880808352539776
0.38821955434876226,0.5604897257437126,0.8373335211510982,0.36807237853214253,0.5444749672576709,0.880808352539776
0.35568546568018006,0.5604897257437126,0.8299402375725022,0.40393943230774676,0.5444749672576709,0.880808352539776
0.4002131160861695,0.5604897257437126,0.8678335018304868,0.4155505274471593,0.5444749672576709,0.880808352539776
0.42416913632277187,0.5604897257437126,0.793890608467898,0.4116716590003625,0.5289817644368169,0.8848399691712361
0.4120361142814258,0.5604897257437126,0.8278058883508133,0.40367241370015644,0.5289817644368169,0.8921910847399819
0.3885686069351259,0.5604897257437126,0.8278058883508133,0.43144798056396855,0.5289817644368169,0.882263832280332
0.352194873026202,0.5604897257437126,0.8232423520791886,0.42286162094753754,0.5323726994909758,0.882263832280332
0.36427594901340576,0.534389720633676,0.8232423520791886,0.4227455600692704,0.5323726994909758,0.8935538498695094
0.33054684258462624,0.534389720633676,0.8149742894539705,0.3876393678455714,0.5323726994909758,0.8915743250526603
0.3534832055025396,0.534389720633676,0.8149742894539705,0.3782967561618766,0.5323726994909758,0.8663964312827883
0.3310015577398153,0.533679379966119,0.8149742894539705,0.38647799252646764,0.5323726994909758,0.8752247448595344
0.34410807030645685,0.533679379966119,0.8347881853697194,0.39223612978773387,0.5522374419451226,0.8752247448595344
0.3548148962681013,0.520041533613999,0.8347881853697194,0.38121844169998464,0.5522374419451226,0.8713028381682232
0.32643538822505536,0.520041533613999,0.814223326149214,0.4057046621031933,0.5522374419451226,0.8713028381682232
0.31750240844292216,0.520041533613999,0.8253346084528874,0.42175323987446167,0.5522374419451226,0.8144803334095061
0.3390578087497757,0.5217709904283921,0.8253346084528874,0.4098030093647151,0.5522374419451226,0.789590032714643
0.3797133028411658,0.500795313897669,0.8702813203473702,0.4611147042930939,0.5522374419451226,0.789590032714643
0.36373200500343567,0.500795313897669,0.8894656841813064,0.4195595089004809,0.5522374419451226,0.7903721780184525
0.37399627394930335,0.500795313897669,0.8894656841813064,0.41608234476167294,0.5522374419451226,0.7882964593802038
0.3761071735201221,0.5073956831455247,0.8959724947388953,0.4058766234932415,0.5522374419451226,0.7882964593802038
0.33949891371151697,0.5134507176252362,0.8959724947388953,0.37584004358021117,0.549869527773376,0.7929160200748198
0.36404802005185166,0.5056788380446283,0.9017422463526749,0.3900342258847441,0.549869527773376,0.7929160200748198
0.31708983500714416,0.5056788380446283,0.8901269890570751,0.3867317148176986,0.549869527773376,0.7748270908791666
0.32914135136075884,0.5056788380446283,0.9118026158150766,0.3890013470027014,0.549869527773376,0.7951145405225022
0.3340427944820518,0.5056788380446283,0.9118026158150766,0.37333078184471524,0.5596083229173328,0.7951145405225022
0.3495247682902977,0.5056788380446283,0.9259592063132304,0.3701510732079193,0.5596083229173328,0.7951145405225022
0.34223273695465184,0.5056788380446283,0.9343347350440672,0.3710880422407778,0.5596083229173328,0.7951145405225022
0.33615457253698977,0.5056788380446283,0.9343347350440672,0.4019908607373826,0.5596083229173328,0.794667999294497
0.35370886007998065,0.5056788380446283,0.9343347350440672,0.3942002142429655,0.5596083229173328,0.794667999294497
0.3746582216991746,0.5056788380446283,0.9511487751349617,0.39271593611373223,0.5596083229173328,0.7992355271972852
0.3554626915217038,0.5056788380446283,0.9515376264988422,0.35227158997726005,0.5594378099979692,0.7992355271972852
0.3544093934419107,0.5056788380446283,0.9515376264988422,0.33803304552219327,0.5594378099979692,0.7816555006954258
0.32562195837377034,0.5056788380446283,0.9527312208949109,0.3333001140039235,0.5739201002083946,0.7816555006954258
0.3698542752108045,0.4920096199426768,0.9505674452789473,0.35991495185481087,0.5739201002083946,0.7816555006954258
0.3778030860274643,0.48915519697804744,0.9453347137755779,0.3758998207263088,0.5739201002083946,0.7858583951871108
0.34135762879127873,0.48915519697804744,0.933691846387649,0.36043119946794416,0.5739201002083946,0.7858583951871108
0.33390327474174175,0.48915519697804744,0.9391753675789182,0.3614036040713069,0.576665761983525,0.7788842050901406
0.34351011145815674,0.48915519697804744,0.9410844981909937,0.34734489951193465,0.5808318810282264,0.7756984395346346
0.3365137083682859,0.48915519697804744,0.9238505158425374,0.341724346444293,0.5808318810282264,0.8030612474467014
0.339057386066825,0.48915519697804744,0.9238505158425374,0.367525873088023,0.5808318810282264,0.7908068897469022
0.38187915000642064,0.48915519697804744,0.917698107500115,0.32733077721456044,0.5808318810282264,0.7908068897469022
0.3675545332660404,0.48915519697804744,0.9249880151430437,0.32244552036881713,0.5808318810282264,0.7908068897469022
0.36577019709622705,0.48915519697804744,0.9249880151430437,0.3509701924801392,0.5808318810282264,0.7908068897469022
0.3887383960768894,0.48915519697804744,0.944735004402787,0.3372375574002914,0.5808318810282264,0.7710693558547621
0.3734390225471189,0.48915519697804744,0.9217037928136077,0.34793931398887634,0.5808318810282264,0.7710693558547621
0.3469993470897006,0.48915519697804744,0.9252684745064923,0.359900803319594,0.5808318810282264,0.7869521885729854
0.3738586239596147,0.48915519697804744,0.9252684745064923,0.3537966220979213,0.5808318810282264,0.7869521885729854
0.3848691142307058,0.48915519697804744,0.9158527781540476,0.354105389560792,0.5808318810282264,0.7476551049979197
0.34012159910531903,0.48915519697804744,0.9139713389503161,0.35832045070378954,0.5808318810282264,0.7901458676622735
0.36001788997121653,0.48915519697804744,0.9249561216773771,0.3756276622613791,0.5808318810282264,0.7901458676622735
0.36344959181622233,0.48915519697804744,0.9249561216773771,0.39750835353268427,0.5808318810282264,0.810544130508701
