Model,Z,mu_prior_sd,tau_halfcauchy_scale,sigma_y_used,sigma_c_used,mu_mean,mu_sd,mu_2.5%,mu_97.5%,tau_mean,tau_sd,tau_2.5%,tau_97.5%,phi_mean,phi_sd,phi_2.5%,phi_97.5%,Rhat_mu,Rhat_tau,Rhat_phi,tau_accept_rate,phi_accept_rate,Validation_RMSE,Validation_Bias,Validation_SE,Validation_Coverage
AR1_FixedZ0p9_muSD5_HC1p0_sigY1p36_sigC1p19,0.9,5.0,1.0,1.3580511528512091,1.1882947587448078,0.3943799419901911,0.03586873453067537,0.32383471852519236,0.4650778610262377,0.4950447901326146,0.03377291610993514,0.4340139406355689,0.5602147587451136,0.9216828344928727,0.045593596089781745,0.835252909382236,0.9887782841870216,1.008721938614462,1.2449126709351128,1.0046889484733383,0.189,0.7124999999999999,1.708587581139656,0.10018928355009846,1.7074925101959628,0.9200863930885529
AR1_FixedZ0p9_muSD10_HC1p0_sigY1p36_sigC1p19,0.9,10.0,1.0,1.3580511528512091,1.1882947587448078,0.39439367119966706,0.03586944428253692,0.3238463312421677,0.465092558670216,0.4950447901326146,0.03377291610993514,0.4340139406355689,0.5602147587451136,0.9216828344928727,0.045593596089781745,0.835252909382236,0.9887782841870216,1.0087234123149227,1.2449126709351128,1.0046889484733383,0.189,0.7124999999999999,1.7085879119228429,0.10020079530507978,1.7074921649400008,0.9200863930885529
AR1_FixedZ0p9_muSD5_HC1p0_sigY1p36_sigC1p02,0.9,5.0,1.0,1.3580511528512091,1.0185383646384067,0.39966806491325413,0.032164186831557015,0.33480446826272764,0.46023174559805574,0.45209108649042734,0.024592820825393998,0.40899074871176017,0.5016692914204887,0.9239245233339248,0.05476826198217751,0.8142712810273076,0.9899553783004055,1.00080604152341,1.012403882655378,1.0243463821860443,0.21050000000000002,0.692,1.712905288192421,0.11320061631649644,1.7110093967476763,0.9136069114470843
AR1_FixedZ0p9_muSD10_HC1p0_sigY1p36_sigC1p02,0.9,10.0,1.0,1.3580511528512091,1.0185383646384067,0.3996805782098226,0.03216468292595301,0.33481608983757555,0.4602448180840323,0.45209108649042734,0.024592820825393998,0.40899074871176017,0.5016692914204887,0.9239245233339248,0.05476826198217751,0.8142712810273076,0.9899553783004055,1.0008061234181904,1.012403882655378,1.0243463821860443,0.21050000000000002,0.692,1.7129057095646654,0.11321120316624862,1.711009117523593,0.9136069114470843
AR1_FixedZ0p9_muSD5_HC5p0_sigY1p36_sigC1p02,0.9,5.0,5.0,1.3580511528512091,1.0185383646384067,0.3931384357411599,0.03253622584843387,0.330063181938352,0.4577816846130793,0.465423929744099,0.046800915248729806,0.3859491510144185,0.5659967202208597,0.8868841843258045,0.07849095239359044,0.6977603170703741,0.9820710880290866,1.0376787464779273,0.9995302681671008,1.0102411684941177,0.225,0.6495,1.7146976663544433,0.1065711857909001,1.713233822244876,0.9157667386609071
AR1_FixedZ0p9_muSD10_HC5p0_sigY1p36_sigC1p02,0.9,10.0,5.0,1.3580511528512091,1.0185383646384067,0.39315079248306145,0.032536865789572725,0.33007510301352466,0.45779421016451394,0.465423929744099,0.046800915248729806,0.3859491510144185,0.5659967202208597,0.8868841843258045,0.07849095239359044,0.6977603170703741,0.9820710880290866,1.0376797637217354,0.9995302681671008,1.0102411684941177,0.225,0.6495,1.7146980519246513,0.10658165218444167,1.713233556479765,0.9157667386609071
AR1_FixedZ0p9_muSD5_HC2p5_sigY1p36_sigC1p02,0.9,5.0,2.5,1.3580511528512091,1.0185383646384067,0.4108131964491887,0.03294105055950202,0.34618680039345145,0.4766724445092518,0.4484976585341922,0.02365809763819819,0.3911422643813509,0.4926183924019291,0.9310946090812555,0.041810507955700606,0.8394016573635837,0.9875389878154536,1.001375616397802,1.0812928474187344,1.0038978614855736,0.201,0.7295,1.7180265478345504,0.12764781498912892,1.7151311214019314,0.9114470842332614
AR1_FixedZ0p9_muSD10_HC2p5_sigY1p36_sigC1p02,0.9,10.0,2.5,1.3580511528512091,1.0185383646384067,0.41082603928030786,0.032941602902018405,0.3461983198988544,0.476686724126588,0.4484976585341922,0.02365809763819819,0.3911422643813509,0.4926183924019291,0.9310946090812555,0.041810507955700606,0.8394016573635837,0.9875389878154536,1.0013759496144856,1.0812928474187344,1.0038978614855736,0.201,0.7295,1.7180270727504325,0.12765868394939084,1.7151308376395198,0.9114470842332614
AR1_FixedZ0p9_muSD5_HC5p0_sigY1p36_sigC0p849,0.9,5.0,5.0,1.3580511528512091,0.8487819705320057,0.4123536176380287,0.029720532065819927,0.35519216168029566,0.472636357807451,0.41398203241884013,0.01944048577332121,0.3768876150636664,0.4569129886882386,0.9338684899502134,0.04543484055044946,0.8267927485687553,0.9899225793272955,1.0074236991605616,1.032194055649064,1.0405796148387565,0.1955,0.7145,1.7244108227944457,0.13228481521958405,1.7211890901422724,0.9049676025917927
AR1_FixedZ0p9_muSD10_HC5p0_sigY1p36_sigC0p849,0.9,10.0,5.0,1.3580511528512091,0.8487819705320057,0.4123649344318054,0.029720907759303226,0.35520296169285964,0.47264852878029884,0.41398203241884013,0.01944048577332121,0.3768876150636664,0.4569129886882386,0.9338684899502134,0.04543484055044946,0.8267927485687553,0.9899225793272955,1.0074238022017048,1.032194055649064,1.0405796148387565,0.1955,0.7145,1.7244113315978813,0.13229437412487766,1.7211888647193616,0.9049676025917927
AR1_FixedZ0p9_muSD5_HC2p5_sigY1p36_sigC0p849,0.9,5.0,2.5,1.3580511528512091,0.8487819705320057,0.4028607330097572,0.02861540174860031,0.34767681292311514,0.4545414832211801,0.4058795828887193,0.028639399394691515,0.3620064329236395,0.46706769134126414,0.9135268763456486,0.06033040680229992,0.784460707716224,0.9899955639915172,1.0191201689465035,1.3963826885697403,1.058280721990581,0.1975,0.6859999999999999,1.7297647842606343,0.12734656650846485,1.7269366913382391,0.9049676025917927
AR1_FixedZ0p9_muSD10_HC2p5_sigY1p36_sigC0p849,0.9,10.0,2.5,1.3580511528512091,0.8487819705320057,0.4028716475931898,0.02861581172590271,0.34768647440554984,0.4545529319102596,0.4058795828887193,0.028639399394691515,0.3620064329236395,0.46706769134126414,0.9135268763456486,0.06033040680229992,0.784460707716224,0.9899955639915172,1.0191193476972538,1.3963826885697403,1.058280721990581,0.1975,0.6859999999999999,1.7297652653865416,0.12735587634271198,1.7269364862647592,0.9049676025917927
AR1_FixedZ0p9_muSD5_HC1p0_sigY1p36_sigC0p849,0.9,5.0,1.0,1.3580511528512091,0.8487819705320057,0.3752984781903882,0.049461085528405106,0.2880206796207877,0.4613205452434743,0.2448289101742664,0.16305267807046245,0.07053902213321964,0.4207722951735607,0.9322808489556718,0.055363074100352065,0.7943591991059397,0.9894528831866111,2.0804116228153675,25.8102366901501,1.0272356849906394,0.195,0.7335,1.7452777269715203,0.1163077073137345,1.7432815729444737,0.8984881209503239
AR1_FixedZ0p9_muSD10_HC1p0_sigY1p36_sigC0p849,0.9,10.0,1.0,1.3580511528512091,0.8487819705320057,0.3753067653282392,0.049463928404432804,0.28802387937255847,0.4613321530522247,0.2448289101742664,0.16305267807046245,0.07053902213321964,0.4207722951735607,0.9322808489556718,0.055363074100352065,0.7943591991059397,0.9894528831866111,2.0804965142145533,25.8102366901501,1.0272356849906394,0.195,0.7335,1.7452781004164262,0.11631509715790309,1.74328145351013,0.8984881209503239
AR1_FixedZ0p7_muSD5_HC5p0_sigY1p36_sigC1p36,0.7,5.0,5.0,1.3580511528512091,1.3580511528512091,0.41004593586495885,0.030662904321079175,0.3469266548591019,0.4670231636907765,0.30609240923313014,0.052180195218994335,0.21708577103592344,0.3956668174208693,0.8583939467473944,0.10036234166746096,0.6763716917707129,0.9882087288503063,1.0053044064577072,2.1040490066477346,1.1113529666120765,0.193,0.6315,1.7523036456501946,0.15606590986057892,1.747227812770858,0.896328293736501
AR1_FixedZ0p7_muSD10_HC5p0_sigY1p36_sigC1p36,0.7,10.0,5.0,1.3580511528512091,1.3580511528512091,0.4100567149084408,0.030663292631193856,0.34693645652803684,0.46703465586515797,0.30609240923313014,0.052180195218994335,0.21708577103592344,0.3956668174208693,0.8583939467473944,0.10036234166746096,0.6763716917707129,0.9882087288503063,1.0053032198874285,2.1040490066477346,1.1113529666120765,0.193,0.6315,1.752304423151237,0.15607579766975987,1.747227709079793,0.896328293736501
AR1_FixedZ0p7_muSD5_HC2p5_sigY1p36_sigC1p02,0.7,5.0,2.5,1.3580511528512091,1.0185383646384067,0.4207276180286994,0.026657923855672564,0.3701266681109083,0.4748024655182491,0.2843957224337579,0.02588518108488125,0.23942846554501995,0.3393386532173697,0.9501353110599667,0.03162768609310458,0.8759072177916605,0.9890491974419698,1.0082278494624666,0.9994321968951437,1.1408080860508991,0.216,0.7989999999999999,1.7552207625265888,0.16887492186053574,1.7489676541333523,0.8941684665226782
AR1_FixedZ0p7_muSD10_HC2p5_sigY1p36_sigC1p02,0.7,10.0,2.5,1.3580511528512091,1.0185383646384067,0.4207360703587111,0.026658162082900855,0.37013418484698773,0.4748115749501498,0.2843957224337579,0.02588518108488125,0.23942846554501995,0.3393386532173697,0.9501353110599667,0.03162768609310458,0.8759072177916605,0.9890491974419698,1.008228300530274,0.9994321968951437,1.1408080860508991,0.216,0.7989999999999999,1.7552213921488147,0.16888240810656358,1.7489675629449886,0.8941684665226782
AR1_FixedZ0p7_muSD5_HC5p0_sigY1p36_sigC1p19,0.7,5.0,5.0,1.3580511528512091,1.1882947587448078,0.4154265916060889,0.026780331950182607,0.36346721749435906,0.4682594268046234,0.2891114149698122,0.039640680664372846,0.20164184493300116,0.33948205864806474,0.8968683343254955,0.06058092202745132,0.7628863110278504,0.9821290735548018,0.9996727654714791,1.151449507408333,1.2691091069364322,0.197,0.655,1.7566398267394663,0.1639190789779834,1.7508669402452803,0.8876889848812095
