Rank_by_RMSE,Method_Type,Model,Z,mu_prior_sd,tau_halfcauchy_scale,Validation_RMSE,Validation_Bias,Validation_SE,Validation_Coverage,Rhat_mu,Rhat_tau,tau_accept_rate
1,Comparison method,MICE-style iterative regression,,,,1.681353368,-0.058637618,1.682148113,,,,
2,Comparison method,Gaussian NB baseline,,,,1.714547092,0.013584667,1.716347784,,,,
3,Comparison method,Naive mean,,,,1.74989645,0.080302064,1.749943774,,,,
4,Bayesian fixed Z,Ind_FixedZ0.5_muSD5_HC5.0,0.5,5,5,1.77970747,0.195824665,1.770814539,0.935205184,1.018324143,1.01727452,0.192583333
5,Bayesian fixed Z,Ind_FixedZ0.5_muSD10_HC5.0,0.5,10,5,1.779708724,0.195836066,1.770814539,0.935205184,1.018324768,1.01727452,0.192583333
6,Bayesian fixed Z,Ind_FixedZ0.5_muSD5_HC2.5,0.5,5,2.5,1.780198807,0.199344145,1.77091593,0.935205184,1.032022486,1.409248216,0.185833333
7,Bayesian fixed Z,Ind_FixedZ0.5_muSD10_HC2.5,0.5,10,2.5,1.780200104,0.199355731,1.77091593,0.935205184,1.032023132,1.409248216,0.185833333
8,Bayesian fixed Z,Ind_FixedZ0.5_muSD5_HC1.0,0.5,5,1,1.782332184,0.199487961,1.773048906,0.933045356,1.133568191,1.051966802,0.19025
9,Bayesian fixed Z,Ind_FixedZ0.5_muSD10_HC1.0,0.5,10,1,1.78233346,0.199499353,1.773048906,0.933045356,1.133569926,1.051966802,0.19025
