Model,Z_prior,mu_prior_sd,tau_halfcauchy_scale,sigma_y_used,sigma_c_used,mu_mean,mu_sd,mu_2.5%,mu_97.5%,tau_mean,tau_sd,tau_2.5%,tau_97.5%,phi_mean,phi_sd,phi_2.5%,phi_97.5%,Z_mean,Z_sd,Z_2.5%,Z_97.5%,Rhat_mu,Rhat_tau,Rhat_phi,Rhat_Z_mean,tau_accept_rate,phi_accept_rate,z_accept_rate,Validation_RMSE,Validation_Bias,Validation_SE,Validation_Coverage
AR1_SampledZ_Beta3_2_muSD10_HC2p5_sigY1p36_sigC1p02,"Beta(3,2)",10.0,2.5,1.3580511528512091,1.0185383646384067,0.43255713937596413,0.03726088870633513,0.36198975342231055,0.5071379659516764,0.7359306212621982,0.05487578783114987,0.6174521082939078,0.8069466272863473,0.9534001636689147,0.03633670827249736,0.8608386027251698,0.9897371272717361,0.9890258106650643,0.0030229337741962442,0.9837509260037954,0.9936937925284687,1.0052108560213553,1.2406985269062947,1.167314487043471,1.002501159258966,0.1835,0.7809999999999999,0.005833333333333334,1.6470113757412312,0.06375406039049018,1.6475571683470833,0.937365010799136
AR1_SampledZ_Beta3_2_muSD5_HC2p5_sigY1p36_sigC1p02,"Beta(3,2)",5.0,2.5,1.3580511528512091,1.0185383646384067,0.43253549708247063,0.037259924185962245,0.3619704286483395,0.5071150997572897,0.7359306212621982,0.05487578783114987,0.6174521082939078,0.8069466272863473,0.9534001636689147,0.03633670827249736,0.8608386027251698,0.9897371272717361,0.9890258106650643,0.0030229337741962442,0.9837509260037954,0.9936937925284687,1.0052086747573752,1.2406985269062947,1.167314487043471,1.002501159258966,0.1835,0.7809999999999999,0.005833333333333334,1.6470116279147204,0.06373744591781777,1.6475580652056288,0.937365010799136
AR1_SampledZ_Beta3_2_muSD10_HC5p0_sigY1p36_sigC1p19,"Beta(3,2)",10.0,5.0,1.3580511528512091,1.1882947587448078,0.4328779981143852,0.040761552469968224,0.34966079743051287,0.5118322490585848,0.7531484719554871,0.03207957803170593,0.6974157524145982,0.8065159417142406,0.929628238465523,0.05187291580646438,0.8058157379607546,0.99,0.9855270675817365,0.005299442836261868,0.9730863932336368,0.9915540419243296,1.0098021898168186,1.0299374252998417,1.2946223079279005,1.0104396283290122,0.211,0.739,0.008166666666666666,1.6484124764935126,0.06316079042339215,1.6489837159717098,0.9395248380129589
AR1_SampledZ_Beta3_2_muSD5_HC5p0_sigY1p36_sigC1p19,"Beta(3,2)",5.0,5.0,1.3580511528512091,1.1882947587448078,0.43285613016688657,0.040760378922233956,0.34964058314875673,0.5118104276591472,0.7531484719554871,0.03207957803170593,0.6974157524145982,0.8065159417142406,0.929628238465523,0.05187291580646438,0.8058157379607546,0.99,0.9855270675817365,0.005299442836261868,0.9730863932336368,0.9915540419243296,1.0098000697781815,1.0299374252998417,1.2946223079279005,1.0104396283290122,0.211,0.739,0.008166666666666666,1.6484127321681572,0.0631439936474979,1.648984616782141,0.9395248380129589
AR1_SampledZ_Beta3_2_muSD10_HC5p0_sigY1p36_sigC1p36,"Beta(3,2)",10.0,5.0,1.3580511528512091,1.3580511528512091,0.4351072752898017,0.04267361539642641,0.35752215884688987,0.5239485984405018,0.7561265997563396,0.03914046964098381,0.6769875825134817,0.8307548665673135,0.9415047109422344,0.03176625133348604,0.8750302845113623,0.9885790884959408,0.9819963324824598,0.003647454432655918,0.9707415974188258,0.9851553617935194,1.0233723650617264,1.013350148492191,1.0702164544274064,1.0231074889190934,0.1985,0.8095,0.0085,1.650735396914973,0.0689581281784895,1.6510784189865924,0.9438444924406048
AR1_SampledZ_Beta3_2_muSD5_HC5p0_sigY1p36_sigC1p36,"Beta(3,2)",5.0,5.0,1.3580511528512091,1.3580511528512091,0.4350849695201247,0.04267214441106893,0.35750086081958027,0.5239233228923235,0.7561265997563396,0.03914046964098381,0.6769875825134817,0.8307548665673135,0.9415047109422344,0.03176625133348604,0.8750302845113623,0.9885790884959408,0.9819963324824598,0.003647454432655918,0.9707415974188258,0.9851553617935194,1.0233716323119117,1.013350148492191,1.0702164544274064,1.0231074889190934,0.1985,0.8095,0.0085,1.6507356103135251,0.0689410657538608,1.6510793468773088,0.9438444924406048
AR1_SampledZ_Beta3_2_muSD10_HC2p5_sigY1p36_sigC1p19,"Beta(3,2)",10.0,2.5,1.3580511528512091,1.1882947587448078,0.42870910716433747,0.04149814181832247,0.3479373468970783,0.5057274019736343,0.7430050259696197,0.036240319079320724,0.6670598986994206,0.8038294655749244,0.9394626269828948,0.0440156550650861,0.8367603137042875,0.9899560838701453,0.9855946397325117,0.004511955749650929,0.9775830658108903,0.9901842649663678,0.9998024271258737,0.9997690940912014,1.1273626698489256,1.967538563316537,0.2005,0.7629999999999999,0.0061666666666666675,1.653277294725631,0.060696491002454535,1.653949837422473,0.9395248380129589
AR1_SampledZ_Beta3_2_muSD5_HC2p5_sigY1p36_sigC1p19,"Beta(3,2)",5.0,2.5,1.3580511528512091,1.1882947587448078,0.4286875760078219,0.041497080800803214,0.3479189355876599,0.5057037045905961,0.7430050259696197,0.036240319079320724,0.6670598986994206,0.8038294655749244,0.9394626269828948,0.0440156550650861,0.8367603137042875,0.9899560838701453,0.9855946397325117,0.004511955749650929,0.9775830658108903,0.9901842649663678,0.9998026319919585,0.9997690940912014,1.1273626698489256,1.967538563316537,0.2005,0.7629999999999999,0.0061666666666666675,1.6532775833929712,0.060679918330286006,1.6539507360123025,0.9395248380129589
AR1_SampledZ_Beta3_2_muSD10_HC1p0_sigY1p36_sigC1p02,"Beta(3,2)",10.0,1.0,1.3580511528512091,1.0185383646384067,0.4370672596059802,0.04248941203186647,0.3478776735038618,0.5153881560473538,0.7496200281850036,0.04567916801471034,0.6189572300894987,0.8252412348132042,0.9633463230003315,0.02807433577101087,0.8849942647098207,0.99,0.9890007671154779,0.004192874399925294,0.9777217629750324,0.9943626566011399,0.9992857107008163,1.0051083351220742,1.3023725835271658,1.006873903065726,0.1985,0.8165,0.005666666666666667,1.6553833162824494,0.06481032577530525,1.6559033262544927,0.9395248380129589
AR1_SampledZ_Beta3_2_muSD5_HC1p0_sigY1p36_sigC1p02,"Beta(3,2)",5.0,1.0,1.3580511528512091,1.0185383646384067,0.437045015389707,0.042487991214625355,0.34785918310705516,0.5153644575535798,0.7496200281850036,0.04567916801471034,0.6189572300894987,0.8252412348132042,0.9633463230003315,0.02807433577101087,0.8849942647098207,0.99,0.9890007671154779,0.004192874399925294,0.9777217629750324,0.9943626566011399,0.9992857053902694,1.0051083351220742,1.3023725835271658,1.006873903065726,0.1985,0.8165,0.005666666666666667,1.6553835920304645,0.0647934223676118,1.6559042654395866,0.9395248380129589
AR1_SampledZ_Beta3_2_muSD10_HC1p0_sigY1p36_sigC1p36,"Beta(3,2)",10.0,1.0,1.3580511528512091,1.3580511528512091,0.429323359988737,0.04559307341421959,0.342609504260492,0.5202078466741411,0.7280023479310924,0.07430554317309851,0.5190182154370243,0.8174953314564539,0.9487025167202803,0.029149823512900803,0.8861312816075337,0.9883162600776444,0.9852687850698437,0.004795428240107501,0.9747894524224442,0.9912154040638746,1.005108985568696,1.055360842206061,1.0479064990048916,1.02514191949783,0.21350000000000002,0.8125,0.006833333333333334,1.65697361588387,0.058986987071344435,1.6577144934307106,0.9352051835853131
AR1_SampledZ_Beta3_2_muSD5_HC1p0_sigY1p36_sigC1p36,"Beta(3,2)",5.0,1.0,1.3580511528512091,1.3580511528512091,0.4293018453426248,0.045591065508291125,0.3425908983843853,0.5201821011573432,0.7280023479310924,0.07430554317309851,0.5190182154370243,0.8174953314564539,0.9487025167202803,0.029149823512900803,0.8861312816075337,0.9883162600776444,0.9852687850698437,0.004795428240107501,0.9747894524224442,0.9912154040638746,1.005109969661364,1.055360842206061,1.0479064990048916,1.02514191949783,0.21350000000000002,0.8125,0.006833333333333334,1.6569739182516305,0.05897034718599389,1.6577153896175985,0.9352051835853131
AR1_SampledZ_Beta3_2_muSD10_HC5p0_sigY1p36_sigC1p02,"Beta(3,2)",10.0,5.0,1.3580511528512091,1.0185383646384067,0.41669275099385733,0.042713664373945325,0.33031068719033835,0.5054071439688853,0.7283508263405556,0.032914146671714765,0.6725178741767645,0.7881175617869312,0.9091546534376819,0.05883180232357806,0.7859115762517709,0.99,0.9806980059063408,0.0022776257391629202,0.9774576309196193,0.9844772420016149,0.999438965656394,1.1661564022562352,1.1824497779205494,0.9999557305759335,0.216,0.6970000000000001,0.006833333333333334,1.6594029040125153,0.05668024406155753,1.660228480091465,0.9308855291576674
