AR(1) structure scenario with sampled Z prior = Beta(3,2)
Best model for this Z prior: AR1_SampledZ_Beta3_2_muSD10_HC2p5_sigY1p36_sigC1p02
Scenario directory: F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Bayesian Learning Algorithm\AR1_sampledZ_results\scenario_ar1_sampled_Beta_3_2

Bayesian AR(1) sampled-Z results for Beta_3_2
=============================================
                                               Model   Z_prior  a_z  b_z  mu_prior_sd  tau_halfcauchy_scale  sigma_y_used  sigma_c_used  mu_mean    mu_sd  mu_2.5%  mu_97.5%  tau_mean   tau_sd  tau_2.5%  tau_97.5%  phi_mean   phi_sd  phi_2.5%  phi_97.5%   Z_mean     Z_sd   Z_2.5%  Z_97.5%  Rhat_mu  Rhat_tau  Rhat_phi  Rhat_Z_mean  tau_accept_rate  phi_accept_rate  z_accept_rate  Validation_RMSE  Validation_Bias  Validation_SE  Validation_Coverage
 AR1_SampledZ_Beta3_2_muSD10_HC2p5_sigY1p36_sigC1p02 Beta(3,2)  3.0  2.0         10.0                   2.5      1.358051      1.018538 0.432557 0.037261 0.361990  0.507138  0.735931 0.054876  0.617452   0.806947  0.953400 0.036337  0.860839   0.989737 0.989026 0.003023 0.983751 0.993694 1.005211  1.240699  1.167314     1.002501           0.1835           0.7810       0.005833         1.647011         0.063754       1.647557             0.937365
  AR1_SampledZ_Beta3_2_muSD5_HC2p5_sigY1p36_sigC1p02 Beta(3,2)  3.0  2.0          5.0                   2.5      1.358051      1.018538 0.432535 0.037260 0.361970  0.507115  0.735931 0.054876  0.617452   0.806947  0.953400 0.036337  0.860839   0.989737 0.989026 0.003023 0.983751 0.993694 1.005209  1.240699  1.167314     1.002501           0.1835           0.7810       0.005833         1.647012         0.063737       1.647558             0.937365
 AR1_SampledZ_Beta3_2_muSD10_HC5p0_sigY1p36_sigC1p19 Beta(3,2)  3.0  2.0         10.0                   5.0      1.358051      1.188295 0.432878 0.040762 0.349661  0.511832  0.753148 0.032080  0.697416   0.806516  0.929628 0.051873  0.805816   0.990000 0.985527 0.005299 0.973086 0.991554 1.009802  1.029937  1.294622     1.010440           0.2110           0.7390       0.008167         1.648412         0.063161       1.648984             0.939525
  AR1_SampledZ_Beta3_2_muSD5_HC5p0_sigY1p36_sigC1p19 Beta(3,2)  3.0  2.0          5.0                   5.0      1.358051      1.188295 0.432856 0.040760 0.349641  0.511810  0.753148 0.032080  0.697416   0.806516  0.929628 0.051873  0.805816   0.990000 0.985527 0.005299 0.973086 0.991554 1.009800  1.029937  1.294622     1.010440           0.2110           0.7390       0.008167         1.648413         0.063144       1.648985             0.939525
 AR1_SampledZ_Beta3_2_muSD10_HC5p0_sigY1p36_sigC1p36 Beta(3,2)  3.0  2.0         10.0                   5.0      1.358051      1.358051 0.435107 0.042674 0.357522  0.523949  0.756127 0.039140  0.676988   0.830755  0.941505 0.031766  0.875030   0.988579 0.981996 0.003647 0.970742 0.985155 1.023372  1.013350  1.070216     1.023107           0.1985           0.8095       0.008500         1.650735         0.068958       1.651078             0.943844
  AR1_SampledZ_Beta3_2_muSD5_HC5p0_sigY1p36_sigC1p36 Beta(3,2)  3.0  2.0          5.0                   5.0      1.358051      1.358051 0.435085 0.042672 0.357501  0.523923  0.756127 0.039140  0.676988   0.830755  0.941505 0.031766  0.875030   0.988579 0.981996 0.003647 0.970742 0.985155 1.023372  1.013350  1.070216     1.023107           0.1985           0.8095       0.008500         1.650736         0.068941       1.651079             0.943844
