Model,Z,mu_prior_sd,tau_halfcauchy_scale,mu_mean,mu_sd,mu_2.5%,mu_97.5%,tau_mean,tau_sd,tau_2.5%,tau_97.5%,phi_mean,phi_sd,phi_2.5%,phi_97.5%,Rhat_mu,Rhat_tau,Rhat_phi,tau_accept_rate,phi_accept_rate,Validation_RMSE,Validation_Bias,Validation_SE,Validation_Coverage
AR1_FixedZ0.7_muSD5_HC5.0,0.7,5.0,5.0,0.394740621741224,0.03050181771387721,0.3352057827060789,0.45321177647176036,0.1554116143118315,0.03071443212202937,0.10312102148166809,0.22667919690382074,0.30793663102029656,0.29302313771529676,-0.22367111529963088,0.8786154195631238,1.1360235325530865,1.543933037314779,1.8251805477087595,0.18875000000000003,0.3619166666666666,1.7759929917599753,0.16423915113575238,1.7702952828699463,0.9330453563714903
AR1_FixedZ0.7_muSD10_HC5.0,0.7,10.0,5.0,0.39475354700374227,0.030502248697605084,0.3352185529755378,0.4532261367099905,0.1554116143118315,0.03071443212202937,0.10312102148166809,0.22667919690382074,0.30793663102029656,0.29302313771529676,-0.22367111529963088,0.8786154195631238,1.136029125032613,1.543933037314779,1.8251805477087595,0.18875000000000003,0.3619166666666666,1.7759941728510302,0.1642519868461398,1.7702952768701774,0.9330453563714903
AR1_FixedZ0.7_muSD5_HC2.5,0.7,5.0,2.5,0.3986904204662019,0.031085964911367968,0.33849339073163726,0.4540032278618383,0.1256797669518981,0.026854211183257794,0.07697171223935508,0.17449645272105296,0.3523352656422736,0.3437699486364408,-0.2934031733501866,0.9001840335898487,1.116717921566144,1.6963080960753094,1.5427432617868797,0.18758333333333332,0.3695,1.7768104766006976,0.16752784573928922,1.7708084583181183,0.937365010799136
AR1_FixedZ0.7_muSD10_HC2.5,0.7,10.0,2.5,0.3987033971472754,0.031086428767133252,0.3385058758703425,0.4540168131929259,0.1256797669518981,0.026854211183257794,0.07697171223935508,0.17449645272105296,0.3523352656422736,0.3437699486364408,-0.2934031733501866,0.9001840335898487,1.1167234046226076,1.6963080960753094,1.5427432617868797,0.18758333333333332,0.3695,1.776811686608479,0.16754074559444657,1.7708084519723253,0.937365010799136
AR1_FixedZ0.7_muSD5_HC1.0,0.7,5.0,1.0,0.40953550867175237,0.036641173796506825,0.32532524061401913,0.4751844627115535,0.1403697005845954,0.027763638363091717,0.0982388415802287,0.19417626639758598,0.21142789364695552,0.3138373764001801,-0.3849108842995309,0.75928184892631,1.0923592090268188,1.4506679336686064,1.182858267554273,0.18641666666666667,0.3411666666666667,1.77912866024351,0.17756712418845255,1.7721601945802554,0.9352051835853131
AR1_FixedZ0.7_muSD10_HC1.0,0.7,10.0,1.0,0.4095489350402594,0.0366418452620267,0.32533798889962323,0.47519882771026073,0.1403697005845954,0.027763638363091717,0.0982388415802287,0.19417626639758598,0.21142789364695552,0.3138373764001801,-0.3849108842995309,0.75928184892631,1.0923625000366455,1.4506679336686064,1.182858267554273,0.18641666666666667,0.3411666666666667,1.7791299881033205,0.17758047643992245,1.7721601897306531,0.9352051835853131
