Rank_by_RMSE,Model,Z,mu_prior_sd,tau_halfcauchy_scale,Validation_RMSE,Validation_Bias,Validation_SE,Validation_Coverage,Rhat_mu,Rhat_tau,Rhat_phi,tau_accept_rate,phi_accept_rate,Method_Type
1,MICE-style iterative regression,,,,1.681353368294812,-0.0586376178746888,1.6821481129908267,,,,,,,Comparison method
2,Gaussian NB baseline,,,,1.7145470924005723,0.013584667223946972,1.71634778388837,,,,,,,Comparison method
3,Naive mean,,,,1.7498964502585075,0.0803020635253511,1.749943773677618,,,,,,,Comparison method
4,AR1_FixedZ0.7_muSD5_HC5.0,0.7,5.0,5.0,1.7759929917599753,0.16423915113575238,1.7702952828699463,0.9330453563714903,1.1360235325530865,1.543933037314779,1.8251805477087595,0.18875000000000003,0.3619166666666666,Bayesian AR(1) fixed Z
5,AR1_FixedZ0.7_muSD10_HC5.0,0.7,10.0,5.0,1.7759941728510302,0.1642519868461398,1.7702952768701774,0.9330453563714903,1.136029125032613,1.543933037314779,1.8251805477087595,0.18875000000000003,0.3619166666666666,Bayesian AR(1) fixed Z
6,AR1_FixedZ0.7_muSD5_HC2.5,0.7,5.0,2.5,1.7768104766006976,0.16752784573928922,1.7708084583181183,0.937365010799136,1.116717921566144,1.6963080960753094,1.5427432617868797,0.18758333333333332,0.3695,Bayesian AR(1) fixed Z
7,AR1_FixedZ0.7_muSD10_HC2.5,0.7,10.0,2.5,1.776811686608479,0.16754074559444657,1.7708084519723253,0.937365010799136,1.1167234046226076,1.6963080960753094,1.5427432617868797,0.18758333333333332,0.3695,Bayesian AR(1) fixed Z
8,AR1_FixedZ0.7_muSD5_HC1.0,0.7,5.0,1.0,1.77912866024351,0.17756712418845255,1.7721601945802554,0.9352051835853131,1.0923592090268188,1.4506679336686064,1.182858267554273,0.18641666666666667,0.3411666666666667,Bayesian AR(1) fixed Z
9,AR1_FixedZ0.7_muSD10_HC1.0,0.7,10.0,1.0,1.7791299881033205,0.17758047643992245,1.7721601897306531,0.9352051835853131,1.0923625000366455,1.4506679336686064,1.182858267554273,0.18641666666666667,0.3411666666666667,Bayesian AR(1) fixed Z
