Rank_by_RMSE,Model,Z,mu_prior_sd,tau_halfcauchy_scale,sigma_y_used,sigma_c_used,Validation_RMSE,Validation_Bias,Validation_SE,Validation_Coverage,Rhat_mu,Rhat_tau,tau_accept_rate,Method_Type
1,MICE-style iterative regression,,,,,,1.681353368294812,-0.0586376178746888,1.6821481129908267,,,,,Comparison method
2,Gaussian Naive Bayes,,,,,,1.7145470924005723,0.013584667223946972,1.71634778388837,,,,,Comparison method
3,Naive mean,,,,,,1.7498964502585075,0.0803020635253511,1.749943773677618,,,,,Comparison method
4,Ind_FixedZ0p5_muSD5_HC2p5_sigY1p36_sigC1p36,0.5,5.0,2.5,1.3580511528512091,1.3580511528512091,1.7717909920426873,0.0562008158064471,1.7728149508895523,0.8898488120950324,5.523457890733105,4.673173896014673,0.1855,Bayesian independent fixed Z
5,Ind_FixedZ0p5_muSD10_HC2p5_sigY1p36_sigC1p36,0.5,10.0,2.5,1.3580511528512091,1.3580511528512091,1.7717911396323593,0.05620546853674406,1.7728149508895523,0.8898488120950324,5.523570368110491,4.673173896014673,0.1855,Bayesian independent fixed Z
6,Ind_FixedZ0p5_muSD5_HC1p0_sigY2p04_sigC1p36,0.5,5.0,1.0,2.0370767292768135,1.3580511528512091,1.7730872739874648,0.08066143800580833,1.7731674979996173,0.9632829373650108,4.856108612033366,6.404008478181748,0.2095,Bayesian independent fixed Z
7,Ind_FixedZ0p5_muSD10_HC1p0_sigY2p04_sigC1p36,0.5,10.0,1.0,2.0370767292768135,1.3580511528512091,1.773087554357746,0.08066760082708632,1.7731674979996173,0.9632829373650108,4.856239878370894,6.404008478181748,0.2095,Bayesian independent fixed Z
8,Ind_FixedZ0p5_muSD5_HC1p0_sigY1p7_sigC1p36,0.5,5.0,1.0,1.6975639410640113,1.3580511528512091,1.77470743786337,0.1431655930339534,1.7708368149774907,0.9308855291576674,2.0169229425608264,6.429505947699703,0.1805,Bayesian independent fixed Z
9,Ind_FixedZ0p5_muSD10_HC1p0_sigY1p7_sigC1p36,0.5,10.0,1.0,1.6975639410640113,1.3580511528512091,1.7747080241532431,0.14317286060948817,1.7708368149774907,0.9308855291576674,2.0169678532334747,6.429505947699703,0.1805,Bayesian independent fixed Z
10,Ind_FixedZ0p5_muSD5_HC2p5_sigY1p36_sigC1p02,0.5,5.0,2.5,1.3580511528512091,1.0185383646384067,1.7790886732758315,0.19891239528942803,1.7698462400705757,0.8855291576673866,1.0211126364553753,1.0821066749200225,0.20900000000000002,Bayesian independent fixed Z
11,Ind_FixedZ0p5_muSD10_HC2p5_sigY1p36_sigC1p02,0.5,10.0,2.5,1.3580511528512091,1.0185383646384067,1.77908932350105,0.1989182108728204,1.7698462400705757,0.8855291576673866,1.0211124557662008,1.0821066749200225,0.20900000000000002,Bayesian independent fixed Z
12,Ind_FixedZ0p5_muSD5_HC5p0_sigY2p04_sigC1p02,0.5,5.0,5.0,2.0370767292768135,1.0185383646384067,1.7798657493418368,0.2154619248477254,1.7686872912779308,0.9632829373650108,1.0412672811471675,0.9999915775473087,0.2,Bayesian independent fixed Z
13,Ind_FixedZ0p5_muSD10_HC5p0_sigY2p04_sigC1p02,0.5,10.0,5.0,2.0370767292768135,1.0185383646384067,1.7798665823668622,0.21546880610706243,1.7686872912779308,0.9632829373650108,1.041267736234747,0.9999915775473087,0.2,Bayesian independent fixed Z
