Rank_by_RMSE,Model,Z_prior,mu_prior_sd,tau_halfcauchy_scale,Z_mean,sigma_y_used,sigma_c_used,Validation_RMSE,Validation_Bias,Validation_SE,Validation_Coverage,Rhat_mu,Rhat_tau,Rhat_phi,Rhat_Z_mean,tau_accept_rate,phi_accept_rate,z_accept_rate,Method_Type
1,AR1_SampledZ_Beta2_2_muSD10_HC5p0_sigY1p36_sigC1p36,"Beta(2,2)",10.0,5.0,0.9791567371579546,1.3580511528512091,1.3580511528512091,1.648540761393699,0.06337440398061872,1.649104021034735,0.9416846652267818,1.0027924412698428,1.0267015707703604,1.0497880083851858,1.0361751609607035,0.219,0.7244999999999999,0.006666666666666666,Bayesian AR(1) sampled Z
2,AR1_SampledZ_Beta2_2_muSD5_HC5p0_sigY1p36_sigC1p36,"Beta(2,2)",5.0,5.0,0.9791567371579546,1.3580511528512091,1.3580511528512091,1.648541015742957,0.06335765177813615,1.6491049209358375,0.9416846652267818,1.0027924486963975,1.0267015707703604,1.0497880083851858,1.0361751609607035,0.219,0.7244999999999999,0.006666666666666666,Bayesian AR(1) sampled Z
3,AR1_SampledZ_Beta2_2_muSD10_HC5p0_sigY1p36_sigC1p19,"Beta(2,2)",10.0,5.0,0.9794961574499745,1.3580511528512091,1.1882947587448078,1.6523891054627478,0.06358453145521505,1.6529512838198697,0.9352051835853131,0.9993647734265471,1.0882767980090107,1.0202318627898843,0.9994479739203987,0.2215,0.727,0.007166666666666667,Bayesian AR(1) sampled Z
4,AR1_SampledZ_Beta2_2_muSD5_HC5p0_sigY1p36_sigC1p19,"Beta(2,2)",5.0,5.0,0.9794961574499745,1.3580511528512091,1.1882947587448078,1.652389317995247,0.0635686832967609,1.6529521076186506,0.9352051835853131,0.9993648439725507,1.0882767980090107,1.0202318627898843,0.9994479739203987,0.2215,0.727,0.007166666666666667,Bayesian AR(1) sampled Z
5,AR1_SampledZ_Beta2_2_muSD10_HC2p5_sigY1p36_sigC1p36,"Beta(2,2)",10.0,2.5,0.9868450896621438,1.3580511528512091,1.3580511528512091,1.652651778006728,0.05630631814550679,1.6534788928739976,0.9438444924406048,0.9994414788989946,1.134522042803944,1.0019938327040752,1.320950821969298,0.20600000000000002,0.7515000000000001,0.007833333333333333,Bayesian AR(1) sampled Z
6,AR1_SampledZ_Beta2_2_muSD5_HC2p5_sigY1p36_sigC1p36,"Beta(2,2)",5.0,2.5,0.9868450896621438,1.3580511528512091,1.3580511528512091,1.6526521522021989,0.056289150681209155,1.6534798534754906,0.9438444924406048,0.9994417734698308,1.134522042803944,1.0019938327040752,1.320950821969298,0.20600000000000002,0.7515000000000001,0.007833333333333333,Bayesian AR(1) sampled Z
7,AR1_SampledZ_Beta2_2_muSD10_HC1p0_sigY1p36_sigC1p36,"Beta(2,2)",10.0,1.0,0.9788635220367996,1.3580511528512091,1.3580511528512091,1.6570874025662323,0.0575615802646449,1.6578786875618599,0.9395248380129589,1.0316114492114974,1.1867239215980558,1.052499911275277,1.2298323450738657,0.199,0.731,0.005333333333333333,Bayesian AR(1) sampled Z
8,AR1_SampledZ_Beta2_2_muSD5_HC1p0_sigY1p36_sigC1p36,"Beta(2,2)",5.0,1.0,0.9788635220367996,1.3580511528512091,1.3580511528512091,1.6570877438111942,0.057544866927782844,1.6578796108409874,0.9395248380129589,1.0316057139036898,1.1867239215980558,1.052499911275277,1.2298323450738657,0.199,0.731,0.005333333333333333,Bayesian AR(1) sampled Z
9,MICE-style iterative regression,,,,,,,1.681353368294812,-0.0586376178746888,1.6821481129908267,,,,,,,,,Comparison method
10,AR1_SampledZ_Beta2_2_muSD5_HC1p0_sigY1p36_sigC1p02,"Beta(2,2)",5.0,1.0,0.9762296407641098,1.3580511528512091,1.0185383646384067,1.7012467696767721,0.0968303675723484,1.7003260706701186,0.9157667386609071,1.0299597263132547,1.5172983978797896,1.1618540318474264,1.0852315380840316,0.1825,0.7849999999999999,0.006500000000000001,Bayesian AR(1) sampled Z
