Rank_by_RMSE,Method_Type,Model,Z,mu_prior_sd,tau_halfcauchy_scale,Validation_RMSE,Validation_Bias,Validation_SE,Validation_Coverage,Rhat_mu,Rhat_tau,tau_accept_rate
1,Comparison method,MICE-style iterative regression,,,,1.681353368294812,-0.0586376178746888,1.6821481129908267,,,,
2,Comparison method,Gaussian NB baseline,,,,1.7145470924005723,0.013584667223946972,1.71634778388837,,,,
3,Comparison method,Naive mean,,,,1.7498964502585075,0.0803020635253511,1.749943773677618,,,,
4,Bayesian fixed Z,Ind_FixedZ0.7_muSD5_HC1.0,0.7,5.0,1.0,1.7765136709194798,0.1529258678889062,1.771833810706899,0.9352051835853131,1.0832027314859223,1.3518655746424542,0.19116666666666665
5,Bayesian fixed Z,Ind_FixedZ0.7_muSD10_HC1.0,0.7,10.0,1.0,1.7765147396009744,0.15293828207903526,1.771833810706899,0.9352051835853131,1.0832064755139816,1.3518655746424542,0.19116666666666665
6,Bayesian fixed Z,Ind_FixedZ0.7_muSD5_HC5.0,0.7,5.0,5.0,1.7771464636104466,0.15767398600141,1.7720526779362844,0.937365010799136,1.1024874138923328,1.4725117483720043,0.19466666666666668
7,Bayesian fixed Z,Ind_FixedZ0.7_muSD10_HC5.0,0.7,10.0,5.0,1.7771475775245396,0.1576865404522393,1.7720526779362844,0.937365010799136,1.10249149340079,1.4725117483720043,0.19466666666666668
8,Bayesian fixed Z,Ind_FixedZ0.7_muSD5_HC2.5,0.7,5.0,2.5,1.7774692396165,0.16996929055824725,1.7712377954298468,0.9330453563714903,1.040253191965411,1.0891485281158528,0.19133333333333333
9,Bayesian fixed Z,Ind_FixedZ0.7_muSD10_HC2.5,0.7,10.0,2.5,1.7774704732865576,0.16998219128942432,1.7712377954298468,0.9330453563714903,1.0402543527126416,1.0891485281158528,0.19133333333333333
