mu_chain_1,tau_chain_1,Z_mean_chain_1,mu_chain_2,tau_chain_2,Z_mean_chain_2
0.3870183782614826,0.3528784947972086,0.8990239459078505,0.3422114866579877,0.3021599899829897,0.9243809537130465
0.38252288396799217,0.3528784947972086,0.8990239459078505,0.34035409926947047,0.3021599899829897,0.9243809537130465
0.37031687864329166,0.3528784947972086,0.8990239459078505,0.3375152025946916,0.2974671892849752,0.9243809537130465
0.37701413777024045,0.3528784947972086,0.8990239459078505,0.35171014729820327,0.2974671892849752,0.9243809537130465
0.36918143093648664,0.3528784947972086,0.9076093875509036,0.3655894161483904,0.2868478547216511,0.9243809537130465
0.37168173053500403,0.34763594226037436,0.9076093875509036,0.3611155739342974,0.29334957776521947,0.9243809537130465
0.3644482483017616,0.34763594226037436,0.9076093875509036,0.34904376156207456,0.29334957776521947,0.9243809537130465
0.38026160232998596,0.34763594226037436,0.9076093875509036,0.363576568819321,0.29334957776521947,0.9243809537130465
0.3904797744483111,0.34763594226037436,0.9076093875509036,0.3737921708656247,0.29334957776521947,0.9243809537130465
0.3856675759544951,0.3546344200185166,0.9076093875509036,0.364636783940538,0.29334957776521947,0.9243809537130465
0.39040053671928976,0.3546344200185166,0.9076093875509036,0.3662914823761498,0.29334957776521947,0.9243809537130465
0.39461530424761065,0.3546344200185166,0.9076093875509036,0.37066506240145636,0.29334957776521947,0.9243809537130465
0.39976071911481603,0.3546344200185166,0.9076093875509036,0.36877330491055693,0.29334957776521947,0.9243809537130465
0.4103531118893916,0.3546344200185166,0.9076093875509036,0.3655715322645932,0.28067847899274073,0.9243809537130465
0.4033692817148169,0.3546344200185166,0.9076093875509036,0.36362674088712826,0.28067847899274073,0.9243809537130465
0.3816625750248959,0.3546344200185166,0.9076093875509036,0.365118854393631,0.28067847899274073,0.9243809537130465
0.3795952475602914,0.3546344200185166,0.9076093875509036,0.36645944931270086,0.28067847899274073,0.9243809537130465
0.38036860406292794,0.3546344200185166,0.9076093875509036,0.36581516445454476,0.28067847899274073,0.9243809537130465
0.37416931885390564,0.3546344200185166,0.9076093875509036,0.3476939632794946,0.28067847899274073,0.9243809537130465
0.369361259548274,0.3546344200185166,0.9076093875509036,0.3291366859011754,0.28067847899274073,0.9243809537130465
0.36855561791284175,0.3546344200185166,0.9076093875509036,0.3362321115580937,0.28067847899274073,0.9243809537130465
0.363088805907478,0.3546344200185166,0.9076093875509036,0.33315004522157843,0.28067847899274073,0.9243809537130465
0.3571865754517286,0.3546344200185166,0.9076093875509036,0.32763476722219803,0.28052075191584275,0.9243809537130465
0.35166833696271665,0.3546344200185166,0.9076093875509036,0.31863147119966334,0.28052075191584275,0.9243809537130465
0.34833459749353446,0.3581482607388019,0.9076093875509036,0.31918734621620903,0.28052075191584275,0.9243809537130465
0.3514364567974543,0.3581482607388019,0.9076093875509036,0.3185864087914386,0.2661988368433725,0.9243809537130465
0.3338812613289068,0.3624742418147774,0.9076093875509036,0.3148830865869952,0.2661988368433725,0.9243809537130465
0.35310405093532266,0.3624742418147774,0.9076093875509036,0.3115696402437528,0.2661988368433725,0.9243809537130465
