Y_t1,Y_t2,Y_t3,ID
0.9098254927853939,0.9409590661280742,0.9116949677332504,1
0.9098254927853939,0.9409590661280742,0.9116949677332504,2
0.9098254927853939,0.9409590661280742,0.9116949677332504,3
0.9098254927853939,0.9409590661280742,0.9116949677332504,4
0.9098254927853939,0.9409590661280742,0.9116949677332504,5
0.9098254927853939,0.9409590661280742,0.9116949677332504,6
0.9098254927853939,0.9409590661280742,0.9116949677332504,7
0.9098254927853939,0.9409590661280742,0.9116949677332504,8
0.9098254927853939,0.9409590661280742,0.9116949677332504,9
0.9098254927853939,0.9409590661280742,0.9116949677332504,10
0.9098254927853939,0.9409590661280742,0.9116949677332504,11
0.9098254927853939,0.9409590661280742,0.9116949677332504,12
0.9098254927853939,0.9409590661280742,0.9116949677332504,13
0.9098254927853939,0.9409590661280742,0.9116949677332504,14
0.9098254927853939,0.9409590661280742,0.9116949677332504,15
0.9098254927853939,0.9409590661280742,0.9116949677332504,16
0.9098254927853939,0.9409590661280742,0.9116949677332504,17
0.9098254927853939,0.9409590661280742,0.9116949677332504,18
0.9098254927853939,0.9409590661280742,0.9116949677332504,19
0.9098254927853939,0.9409590661280742,0.9116949677332504,20
0.9098254927853939,0.9409590661280742,0.9116949677332504,21
0.9098254927853939,0.9409590661280742,0.9116949677332504,22
0.9098254927853939,0.9409590661280742,0.9116949677332504,23
0.9098254927853939,0.9409590661280742,0.9116949677332504,24
0.9098254927853939,0.9409590661280742,0.9116949677332504,25
0.9098254927853939,0.9409590661280742,0.9116949677332504,26
0.9098254927853939,0.9409590661280742,0.9116949677332504,27
0.9098254927853939,0.9409590661280742,0.9116949677332504,28
0.9098254927853939,0.9409590661280742,0.9116949677332504,29
0.9098254927853939,0.9409590661280742,0.9116949677332504,30
0.9098254927853939,0.9409590661280742,0.9116949677332504,31
0.9098254927853939,0.9409590661280742,0.9116949677332504,32
0.9098254927853939,0.9409590661280742,0.9116949677332504,33
0.9098254927853939,0.9409590661280742,0.9116949677332504,34
0.9098254927853939,0.9409590661280742,0.9116949677332504,35
0.9098254927853939,0.9409590661280742,0.9116949677332504,36
0.9098254927853939,0.9409590661280742,0.9116949677332504,37
0.9098254927853939,0.9409590661280742,0.9116949677332504,38
0.9098254927853939,0.9409590661280742,0.9116949677332504,39
0.9098254927853939,0.9409590661280742,0.9116949677332504,40
0.9098254927853939,0.9409590661280742,0.9116949677332504,41
0.9098254927853939,0.9409590661280742,0.9116949677332504,42
0.9098254927853939,0.9409590661280742,0.9116949677332504,43
0.9098254927853939,0.9409590661280742,0.9116949677332504,44
0.9098254927853939,0.9409590661280742,0.9116949677332504,45
0.9098254927853939,0.9409590661280742,0.9116949677332504,46
0.9098254927853939,0.9409590661280742,0.9116949677332504,47
0.9098254927853939,0.9409590661280742,0.9116949677332504,48
0.9098254927853939,0.9409590661280742,0.9116949677332504,49
0.9098254927853939,0.9409590661280742,0.9116949677332504,50
0.9098254927853939,0.9409590661280742,0.9116949677332504,51
0.9098254927853939,0.9409590661280742,0.9116949677332504,52
0.9098254927853939,0.9409590661280742,0.9116949677332504,53
0.9098254927853939,0.9409590661280742,0.9116949677332504,54
0.9098254927853939,0.9409590661280742,0.9116949677332504,55
0.9098254927853939,0.9409590661280742,0.9116949677332504,56
0.9098254927853939,0.9409590661280742,0.9116949677332504,57
0.9098254927853939,0.9409590661280742,0.9116949677332504,58
0.9098254927853939,0.9409590661280742,0.9116949677332504,59
0.9098254927853939,0.9409590661280742,0.9116949677332504,60
