Rank_by_RMSE,Model,Z,mu_prior_sd,tau_halfcauchy_scale,Validation_RMSE,Validation_Bias,Validation_SE,Validation_Coverage,Rhat_mu,Rhat_tau,Rhat_phi,tau_accept_rate,phi_accept_rate,Method_Type
1,MICE-style iterative regression,,,,1.681353368294812,-0.0586376178746888,1.6821481129908267,,,,,,,Comparison method
2,Gaussian NB baseline,,,,1.7145470924005723,0.013584667223946972,1.71634778388837,,,,,,,Comparison method
3,Naive mean,,,,1.7498964502585075,0.0803020635253511,1.749943773677618,,,,,,,Comparison method
4,AR1_FixedZ0.5_muSD5_HC5.0,0.5,5.0,5.0,1.7784427353195589,0.19574815792690223,1.7695491792307176,0.9330453563714903,1.0194208617670653,1.543811809111436,1.1360437018405138,0.19225,0.39925,Bayesian AR(1) fixed Z
5,AR1_FixedZ0.5_muSD10_HC5.0,0.5,10.0,5.0,1.7784440033816238,0.19575974146901526,1.769549172237821,0.9330453563714903,1.0194218015773233,1.543811809111436,1.1360437018405138,0.19225,0.39925,Bayesian AR(1) fixed Z
6,AR1_FixedZ0.5_muSD5_HC1.0,0.5,5.0,1.0,1.7789083285366236,0.19202031562836996,1.7704273014874732,0.937365010799136,1.0700290459686659,1.2556166977630674,1.4722727448386363,0.18741666666666668,0.4485,Bayesian AR(1) fixed Z
7,AR1_FixedZ0.5_muSD10_HC1.0,0.5,10.0,1.0,1.778909560165516,0.19203179314881824,1.7704272941132584,0.937365010799136,1.0700313740960141,1.2556166977630674,1.4722727448386363,0.18741666666666668,0.4485,Bayesian AR(1) fixed Z
8,AR1_FixedZ0.5_muSD5_HC2.5,0.5,5.0,2.5,1.7798863656056692,0.18881019326301532,1.771757928015897,0.937365010799136,1.0581657399298832,1.4427218967941966,1.3868460866721486,0.19175,0.3769166666666667,Bayesian AR(1) fixed Z
9,AR1_FixedZ0.5_muSD10_HC2.5,0.5,10.0,2.5,1.7798875663329263,0.18882153361019724,1.7717579257088787,0.937365010799136,1.0581677169256105,1.4427218967941966,1.3868460866721486,0.19175,0.3769166666666667,Bayesian AR(1) fixed Z
