Model,Z,mu_prior_sd,tau_halfcauchy_scale,mu_mean,mu_sd,mu_2.5%,mu_97.5%,tau_mean,tau_sd,tau_2.5%,tau_97.5%,Rhat_mu,Rhat_tau,tau_accept_rate,Validation_RMSE,Validation_Bias,Validation_SE,Validation_Coverage
Ind_FixedZ0.5_muSD5_HC5.0,0.5,5,5,0.426022147,0.026256896,0.377731524,0.496773403,0.111277196,0.028032951,0.068481895,0.176926709,1.018324143,1.01727452,0.192583333,1.77970747,0.195824665,1.770814539,0.935205184
Ind_FixedZ0.5_muSD10_HC5.0,0.5,10,5,0.426033581,0.026257113,0.377742524,0.49678557,0.111277196,0.028032951,0.068481895,0.176926709,1.018324768,1.01727452,0.192583333,1.779708724,0.195836066,1.770814539,0.935205184
Ind_FixedZ0.5_muSD5_HC2.5,0.5,5,2.5,0.430221905,0.024703355,0.374394869,0.47501615,0.123338305,0.034300743,0.066310178,0.199716371,1.032022486,1.409248216,0.185833333,1.780198807,0.199344145,1.77091593,0.935205184
Ind_FixedZ0.5_muSD10_HC2.5,0.5,10,2.5,0.430233533,0.02470363,0.374406187,0.475027816,0.123338305,0.034300743,0.066310178,0.199716371,1.032023132,1.409248216,0.185833333,1.780200104,0.199355731,1.77091593,0.935205184
Ind_FixedZ0.5_muSD5_HC1.0,0.5,5,1,0.430570306,0.034062782,0.362809635,0.488731998,0.12096078,0.017194876,0.092320522,0.162092742,1.133568191,1.051966802,0.19025,1.782332184,0.199487961,1.773048906,0.933045356
Ind_FixedZ0.5_muSD10_HC1.0,0.5,10,1,0.430581738,0.034063307,0.362820326,0.488744389,0.12096078,0.017194876,0.092320522,0.162092742,1.133569926,1.051966802,0.19025,1.78233346,0.199499353,1.773048906,0.933045356
