AR(1) structure scenario with sampled Z prior = Beta(2,3)
Best model for this Z prior: AR1_SampledZ_Beta2_3_muSD10_HC2p5_sigY1p36_sigC1p36
Scenario directory: F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Bayesian Learning Algorithm\AR1_sampledZ_results\scenario_ar1_sampled_Beta_2_3

Bayesian AR(1) sampled-Z results for Beta_2_3
=============================================
                                               Model   Z_prior  a_z  b_z  mu_prior_sd  tau_halfcauchy_scale  sigma_y_used  sigma_c_used  mu_mean    mu_sd  mu_2.5%  mu_97.5%  tau_mean   tau_sd  tau_2.5%  tau_97.5%  phi_mean   phi_sd  phi_2.5%  phi_97.5%   Z_mean     Z_sd   Z_2.5%  Z_97.5%  Rhat_mu  Rhat_tau  Rhat_phi  Rhat_Z_mean  tau_accept_rate  phi_accept_rate  z_accept_rate  Validation_RMSE  Validation_Bias  Validation_SE  Validation_Coverage
 AR1_SampledZ_Beta2_3_muSD5_HC2p5_sigY1p36_sigC0p849 Beta(2,3)  2.0  3.0          5.0                   2.5      1.358051      0.848782 0.449969 0.053330 0.335086  0.537638  0.698110 0.165097  0.457972   0.920623  0.691279 0.214967  0.408215   0.975050 0.794214 0.154582 0.606578 0.957795 1.988988  4.891790  6.087955    24.814028           0.1970           0.5595       0.005833         1.736172         0.165623       1.730124             0.926566
AR1_SampledZ_Beta2_3_muSD10_HC2p5_sigY1p36_sigC0p849 Beta(2,3)  2.0  3.0         10.0                   2.5      1.358051      0.848782 0.449983 0.053330 0.335096  0.537652  0.698110 0.165097  0.457972   0.920623  0.691279 0.214967  0.408215   0.975050 0.794214 0.154582 0.606578 0.957795 1.988945  4.891790  6.087955    24.814028           0.1970           0.5595       0.005833         1.736173         0.165633       1.730124             0.926566
 AR1_SampledZ_Beta2_3_muSD5_HC1p0_sigY1p36_sigC0p849 Beta(2,3)  2.0  3.0          5.0                   1.0      1.358051      0.848782 0.440956 0.048195 0.344247  0.523953  0.670254 0.163420  0.428328   0.870936  0.666399 0.278606  0.311504   0.983955 0.789810 0.165075 0.622204 0.954819 1.648184  6.263776  7.877349   157.844420           0.1890           0.5855       0.007333         1.743321         0.159411       1.737895             0.915767
AR1_SampledZ_Beta2_3_muSD10_HC1p0_sigY1p36_sigC0p849 Beta(2,3)  2.0  3.0         10.0                   1.0      1.358051      0.848782 0.440969 0.048195 0.344259  0.523965  0.670254 0.163420  0.428328   0.870936  0.666399 0.278606  0.311504   0.983955 0.789810 0.165075 0.622204 0.954819 1.648123  6.263776  7.877349   157.844420           0.1890           0.5855       0.007333         1.743321         0.159420       1.737895             0.915767
  AR1_SampledZ_Beta2_3_muSD5_HC1p0_sigY1p36_sigC1p02 Beta(2,3)  2.0  3.0          5.0                   1.0      1.358051      1.018538 0.384665 0.035164 0.321418  0.447156  0.268294 0.071088  0.182691   0.434731  0.937248 0.044029  0.842252   0.989391 0.918462 0.017452 0.868777 0.935903 1.096330  1.513536  1.019038     1.006953           0.1840           0.7285       0.006667         1.746171         0.130298       1.743187             0.894168
 AR1_SampledZ_Beta2_3_muSD10_HC1p0_sigY1p36_sigC1p02 Beta(2,3)  2.0  3.0         10.0                   1.0      1.358051      1.018538 0.384676 0.035164 0.321428  0.447166  0.268294 0.071088  0.182691   0.434731  0.937248 0.044029  0.842252   0.989391 0.918462 0.017452 0.868777 0.935903 1.096325  1.513536  1.019038     1.006953           0.1840           0.7285       0.006667         1.746172         0.130308       1.743187             0.894168
   AR1_SampledZ_Beta2_3_muSD5_HC5p0_sigY1p7_sigC1p19 Beta(2,3)  2.0  3.0          5.0                   5.0      1.697564      1.188295 0.364864 0.036195 0.297200  0.448050  0.360093 0.043399  0.277139   0.434477  0.683556 0.252803  0.170139   0.984446 0.930211 0.013819 0.911375 0.945059 1.067807  1.208084  1.217172     2.091451           0.2090           0.5190       0.007500         1.752294         0.112565       1.750566             0.937365
  AR1_SampledZ_Beta2_3_muSD10_HC5p0_sigY1p7_sigC1p19 Beta(2,3)  2.0  3.0         10.0                   5.0      1.697564      1.188295 0.364880 0.036196 0.297213  0.448066  0.360093 0.043399  0.277139   0.434477  0.683556 0.252803  0.170139   0.984446 0.930211 0.013819 0.911375 0.945059 1.067800  1.208084  1.217172     2.091451           0.2090           0.5190       0.007500         1.752294         0.112580       1.750566             0.937365
   AR1_SampledZ_Beta2_3_muSD5_HC5p0_sigY1p7_sigC1p36 Beta(2,3)  2.0  3.0          5.0                   5.0      1.697564      1.358051 0.363077 0.036473 0.296492  0.435592  0.368659 0.042494  0.275512   0.432430  0.768987 0.168360  0.414922   0.967451 0.929185 0.008171 0.904382 0.944171 0.999839  1.570804  1.207682     1.632827           0.2070           0.5460       0.005667         1.752544         0.112224       1.750839             0.937365
  AR1_SampledZ_Beta2_3_muSD10_HC5p0_sigY1p7_sigC1p36 Beta(2,3)  2.0  3.0         10.0                   5.0      1.697564      1.358051 0.363093 0.036473 0.296507  0.435611  0.368659 0.042494  0.275512   0.432430  0.768987 0.168360  0.414922   0.967451 0.929185 0.008171 0.904382 0.944171 0.999838  1.570804  1.207682     1.632827           0.2070           0.5460       0.005667         1.752544         0.112239       1.750838             0.937365
