Rank_by_RMSE,Model,Z,mu_prior_sd,tau_halfcauchy_scale,Validation_RMSE,Validation_Bias,Validation_SE,Validation_Coverage,Rhat_mu,Rhat_tau,Rhat_phi,tau_accept_rate,phi_accept_rate,Method_Type
1,MICE-style iterative regression,,,,1.681353368294812,-0.0586376178746888,1.6821481129908267,,,,,,,Comparison method
2,Gaussian NB baseline,,,,1.7145470924005723,0.013584667223946972,1.71634778388837,,,,,,,Comparison method
3,Naive mean,,,,1.7498964502585075,0.0803020635253511,1.749943773677618,,,,,,,Comparison method
4,AR1_FixedZ0.9_muSD5_HC5.0,0.9,5.0,5.0,1.7630905947451272,0.11440006171060677,1.7612782498736144,0.937365010799136,1.117969358257386,1.8490229728340586,1.0540929747252203,0.1815,0.5370833333333334,Bayesian AR(1) fixed Z
5,AR1_FixedZ0.9_muSD10_HC5.0,0.9,10.0,5.0,1.7630914926908812,0.11441479933938913,1.7612781913042617,0.937365010799136,1.1179754508533406,1.8490229728340586,1.0540929747252203,0.1815,0.5370833333333334,Bayesian AR(1) fixed Z
6,AR1_FixedZ0.9_muSD5_HC1.0,0.9,5.0,1.0,1.7639211625569875,0.12791234467633564,1.7611801599654593,0.9352051835853131,1.0088423319283282,1.65697595501158,1.0264471763763985,0.1875,0.5075,Bayesian AR(1) fixed Z
7,AR1_FixedZ0.9_muSD10_HC1.0,0.9,10.0,1.0,1.7639222152793415,0.12792763197215842,1.7611801038415027,0.9352051835853131,1.0088431206918613,1.65697595501158,1.0264471763763985,0.1875,0.5075,Bayesian AR(1) fixed Z
8,AR1_FixedZ0.9_muSD5_HC2.5,0.9,5.0,2.5,1.7651425791862019,0.09371428530223488,1.7645597039592047,0.937365010799136,1.9524175054694486,2.618674364126965,1.6204649203012984,0.1885,0.48383333333333334,Bayesian AR(1) fixed Z
9,AR1_FixedZ0.9_muSD10_HC2.5,0.9,10.0,2.5,1.765143215058001,0.09372701267402327,1.7645596639688523,0.937365010799136,1.9524796082860318,2.618674364126965,1.6204649203012984,0.1885,0.48383333333333334,Bayesian AR(1) fixed Z
