ID,timepoint,posterior_mean,posterior_se,ci_2_5,ci_97_5
2,Y_t3,3.7726316579679366,,3.7726316579679366,3.7726316579679366
3,Y_t3,3.00699487767392,,3.00699487767392,3.00699487767392
4,Y_t2,2.0456872645169524,,2.0456872645169524,2.0456872645169524
4,Y_t3,-0.20073797900136636,,-0.20073797900136636,-0.20073797900136636
5,Y_t2,1.4319968595288095,,1.4319968595288095,1.4319968595288095
5,Y_t3,1.3576512704167607,,1.3576512704167607,1.3576512704167607
6,Y_t2,-1.153221026182348,,-1.153221026182348,-1.153221026182348
6,Y_t3,-2.256887926955828,,-2.256887926955828,-2.256887926955828
8,Y_t3,4.431629373549621,,4.431629373549621,4.431629373549621
9,Y_t3,-0.2087936869417497,,-0.2087936869417497,-0.2087936869417497
10,Y_t3,-2.9662338434748623,,-2.9662338434748623,-2.9662338434748623
11,Y_t3,-0.7618520282504968,,-0.7618520282504968,-0.7618520282504968
13,Y_t2,0.3399788707318585,,0.3399788707318585,0.3399788707318585
13,Y_t3,-1.3155475218317132,,-1.3155475218317132,-1.3155475218317132
14,Y_t2,-0.5595432550611987,,-0.5595432550611987,-0.5595432550611987
14,Y_t3,-1.9978710481675486,,-1.9978710481675486,-1.9978710481675486
15,Y_t2,1.5497272614670483,,1.5497272614670483,1.5497272614670483
15,Y_t3,3.2924842513350607,,3.2924842513350607,3.2924842513350607
16,Y_t2,-1.3119160720617022,,-1.3119160720617022,-1.3119160720617022
16,Y_t3,2.784969668357259,,2.784969668357259,2.784969668357259
17,Y_t2,-2.540964065422568,,-2.540964065422568,-2.540964065422568
17,Y_t3,1.2418876332992452,,1.2418876332992452,1.2418876332992452
18,Y_t2,2.0530380623597724,,2.0530380623597724,2.0530380623597724
18,Y_t3,-2.7172894422225062,,-2.7172894422225062,-2.7172894422225062
19,Y_t2,2.8440998950695917,,2.8440998950695917,2.8440998950695917
19,Y_t3,2.609212887069501,,2.609212887069501,2.609212887069501
20,Y_t3,-3.767821059028854,,-3.767821059028854,-3.767821059028854
21,Y_t2,0.4291346728188088,,0.4291346728188088,0.4291346728188088
21,Y_t3,-1.7178888894557582,,-1.7178888894557582,-1.7178888894557582
22,Y_t2,-0.28074211214586686,,-0.28074211214586686,-0.28074211214586686
22,Y_t3,-1.513028997736067,,-1.513028997736067,-1.513028997736067
24,Y_t2,0.32940288815751895,,0.32940288815751895,0.32940288815751895
24,Y_t3,0.8253301883271068,,0.8253301883271068,0.8253301883271068
27,Y_t2,0.7407154092019557,,0.7407154092019557,0.7407154092019557
27,Y_t3,0.9724378711685391,,0.9724378711685391,0.9724378711685391
29,Y_t2,4.721440688549853,,4.721440688549853,4.721440688549853
29,Y_t3,-5.576421491429814,,-5.576421491429814,-5.576421491429814
35,Y_t2,-0.6688571511349477,,-0.6688571511349477,-0.6688571511349477
35,Y_t3,2.441901856895578,,2.441901856895578,2.441901856895578
36,Y_t2,6.469580015501742,,6.469580015501742,6.469580015501742
36,Y_t3,4.891581636691455,,4.891581636691455,4.891581636691455
38,Y_t3,-3.9151300951099985,,-3.9151300951099985,-3.9151300951099985
44,Y_t3,-0.03209722543934246,,-0.03209722543934246,-0.03209722543934246
45,Y_t2,-0.2431199850652126,,-0.2431199850652126,-0.2431199850652126
45,Y_t3,1.794457197709099,,1.794457197709099,1.794457197709099
46,Y_t2,0.7386019129739964,,0.7386019129739964,0.7386019129739964
46,Y_t3,3.8438585556199305,,3.8438585556199305,3.8438585556199305
48,Y_t3,-2.127227923406062,,-2.127227923406062,-2.127227923406062
49,Y_t2,4.717760899190385,,4.717760899190385,4.717760899190385
49,Y_t3,1.413660129619593,,1.413660129619593,1.413660129619593
50,Y_t2,4.142279448974797,,4.142279448974797,4.142279448974797
