AR(1) structure scenario with sampled Z prior = Beta(1,1)
Best model for this Z prior: AR1_SampledZ_Beta1_1_muSD10_HC2p5_sigY1p36_sigC1p36
Scenario directory: F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Bayesian Learning Algorithm\AR1_sampledZ_results\scenario_ar1_sampled_Beta_1_1

Bayesian AR(1) sampled-Z results for Beta_1_1
=============================================
                                               Model   Z_prior  a_z  b_z  mu_prior_sd  tau_halfcauchy_scale  sigma_y_used  sigma_c_used  mu_mean    mu_sd  mu_2.5%  mu_97.5%  tau_mean   tau_sd  tau_2.5%  tau_97.5%  phi_mean   phi_sd  phi_2.5%  phi_97.5%   Z_mean     Z_sd   Z_2.5%  Z_97.5%  Rhat_mu  Rhat_tau  Rhat_phi  Rhat_Z_mean  tau_accept_rate  phi_accept_rate  z_accept_rate  Validation_RMSE  Validation_Bias  Validation_SE  Validation_Coverage
 AR1_SampledZ_Beta1_1_muSD10_HC2p5_sigY1p36_sigC1p36 Beta(1,1)  1.0  1.0         10.0                   2.5      1.358051      1.358051 0.439012 0.044838 0.350530  0.526870  0.821607 0.040548  0.766963   0.907686  0.947134 0.037398  0.861061   0.989976 0.997657 0.000591 0.996645 0.998382 1.006306  1.010643  1.004994     2.199880           0.2060           0.7880       0.007000         1.636526         0.052331       1.637459             0.948164
  AR1_SampledZ_Beta1_1_muSD5_HC2p5_sigY1p36_sigC1p36 Beta(1,1)  1.0  1.0          5.0                   2.5      1.358051      1.358051 0.438988 0.044836 0.350508  0.526844  0.821607 0.040548  0.766963   0.907686  0.947134 0.037398  0.861061   0.989976 0.997657 0.000591 0.996645 0.998382 1.006305  1.010643  1.004994     2.199880           0.2060           0.7880       0.007000         1.636527         0.052313       1.637460             0.948164
 AR1_SampledZ_Beta1_1_muSD10_HC1p0_sigY1p36_sigC1p36 Beta(1,1)  1.0  1.0         10.0                   1.0      1.358051      1.358051 0.443949 0.045132 0.362078  0.536174  0.808639 0.031088  0.748060   0.870344  0.951137 0.033552  0.880517   0.990000 0.998121 0.000944 0.996422 0.999392 1.034924  1.277838  1.204589     3.161025           0.1895           0.7820       0.008500         1.639716         0.058335       1.640451             0.948164
  AR1_SampledZ_Beta1_1_muSD5_HC1p0_sigY1p36_sigC1p36 Beta(1,1)  1.0  1.0          5.0                   1.0      1.358051      1.358051 0.443925 0.045131 0.362055  0.536145  0.808639 0.031088  0.748060   0.870344  0.951137 0.033552  0.880517   0.990000 0.998121 0.000944 0.996422 0.999392 1.034919  1.277838  1.204589     3.161025           0.1895           0.7820       0.008500         1.639716         0.058317       1.640452             0.948164
