ID,timepoint,is_original_missing,is_validation_holdout,posterior_mean,posterior_se,ci_2_5,ci_97_5
2,Y_t1,False,True,0.384825590009812,1.411392092704773,-2.413099765777588,3.177560329437256
2,Y_t3,True,False,0.3725641048133075,1.4595359563827515,-2.4888813495635986,3.1516146659851074
3,Y_t1,False,True,0.39785587848484916,1.4174333810806274,-2.3548483848571777,3.0708582401275635
3,Y_t3,True,False,0.4272648330559338,1.4767029285430908,-2.400665521621704,3.3546485900878906
4,Y_t2,True,False,0.3596485749246645,1.3936973810195923,-2.233873128890991,3.1338493824005127
4,Y_t3,True,False,0.363929290465569,1.462700366973877,-2.556324005126953,3.255561590194702
5,Y_t1,False,True,0.3324524097840361,1.3708460330963135,-2.4197912216186523,3.0147573947906494
5,Y_t2,True,False,0.3479717763363227,1.4448474645614624,-2.3681540489196777,3.2435760498046875
5,Y_t3,True,False,0.4378491121060147,1.455229640007019,-2.4109742641448975,3.1892170906066895
6,Y_t2,True,False,0.3434208118563785,1.4705758094787598,-2.5420610904693604,3.308614730834961
6,Y_t3,True,False,0.333849755948551,1.4859482049942017,-2.598205089569092,3.2867472171783447
8,Y_t3,True,False,0.32791102932871286,1.395855188369751,-2.459113597869873,2.9314231872558594
9,Y_t1,False,True,0.3225781363561768,1.4072892665863037,-2.385571002960205,3.0968830585479736
9,Y_t3,True,False,0.3439056288560479,1.4131052494049072,-2.4517459869384766,3.196477174758911
10,Y_t3,True,False,0.3987296804848173,1.432438611984253,-2.431675910949707,3.079746723175049
11,Y_t3,True,False,0.3454808617328371,1.4562970399856567,-2.57513427734375,3.1332504749298096
13,Y_t1,False,True,0.4606133563637701,1.4312595129013062,-2.2918899059295654,3.2708709239959717
13,Y_t2,True,False,0.3775105281533696,1.408807396888733,-2.4888710975646973,3.065035581588745
13,Y_t3,True,False,0.3463102387218784,1.4144195318222046,-2.3397750854492188,3.0484728813171387
14,Y_t2,True,False,0.3447499416457316,1.400757908821106,-2.512324094772339,3.1323466300964355
14,Y_t3,True,False,0.34434962311993034,1.3924487829208374,-2.3260560035705566,3.0650980472564697
15,Y_t1,False,True,0.3641515055556503,1.4499515295028687,-2.4595155715942383,3.1852779388427734
