mu_chain_1,tau_chain_1,mu_chain_2,tau_chain_2,mu_chain_3,tau_chain_3,mu_chain_4,tau_chain_4
0.31740774928630044,0.24741999690411984,0.3985810567154719,0.26440098594461325,0.404454910759025,0.14382391425461782,0.27395655597629753,0.3038255376553185
0.31758554816037127,0.2482571035946749,0.4048117485831626,0.26440098594461325,0.4008712036481517,0.14382391425461782,0.2739623782196317,0.3038255376553185
0.30997327510523703,0.2482571035946749,0.3979819927811066,0.26440098594461325,0.39712077920709726,0.14382391425461782,0.25991234107625866,0.3038255376553185
0.3118775535906022,0.2482571035946749,0.4085190009265807,0.26440098594461325,0.394582211935018,0.14382391425461782,0.25404178543254746,0.30443482025560487
0.3030127439232077,0.2482571035946749,0.41296324911596693,0.2657979297210254,0.3962847196590631,0.14382391425461782,0.2634153223270909,0.3127409697525523
0.3026969546517075,0.24884504631093002,0.40621783732152217,0.2657979297210254,0.3914464278377273,0.14382391425461782,0.28066105141166103,0.3127409697525523
0.30879470361594247,0.2455248211479512,0.4043895507269726,0.2657979297210254,0.3885248065211024,0.14382391425461782,0.2871092477905786,0.3127409697525523
0.30981768013953837,0.2455248211479512,0.40163337064807064,0.2669983780243442,0.3838521848741717,0.14382391425461782,0.28344709949510083,0.3127409697525523
0.3144615726323526,0.2455248211479512,0.40166499205484896,0.2669983780243442,0.3864760151634945,0.14382391425461782,0.276313832909089,0.3127409697525523
0.3276151273148881,0.2455248211479512,0.4013512388827645,0.26770650645825395,0.38443040947996593,0.1447609360216464,0.28642761176968634,0.3117785938495458
0.33684213083848324,0.2455248211479512,0.40639486828932037,0.26770650645825395,0.379844935612517,0.1447609360216464,0.28878191428586847,0.3117785938495458
0.34051824258774605,0.2455248211479512,0.40011856204987784,0.26770650645825395,0.3809947942810217,0.1447609360216464,0.2921267862091498,0.3117785938495458
0.33660999272672076,0.24505086354012764,0.38789406034102136,0.26770650645825395,0.37862376854371643,0.1447609360216464,0.29186893258095337,0.3117785938495458
0.33292925956684133,0.24505086354012764,0.39434064635526,0.26770650645825395,0.3850281729627627,0.1447609360216464,0.2862450049092892,0.3117785938495458
0.3412734864124796,0.24505086354012764,0.39149284703989085,0.26770650645825395,0.38574168842572937,0.1447609360216464,0.28434440713418313,0.3117785938495458
0.3487487493657172,0.24505086354012764,0.39314372941867687,0.25934928302885024,0.38588762807008037,0.1447609360216464,0.30973386088002525,0.3117785938495458
0.34829534129799833,0.24505086354012764,0.3836693878330048,0.25934928302885024,0.381655887379834,0.1447609360216464,0.30415638494361363,0.3117785938495458
0.3466920423383372,0.24505086354012764,0.3843550064187644,0.25934928302885024,0.3863868593136807,0.1447609360216464,0.31648313868471195,0.305556684545422
0.33491109816870296,0.24505086354012764,0.37131778636768986,0.25934928302885024,0.38562829962158396,0.1447609360216464,0.3248065209000296,0.305556684545422
0.3308320983490573,0.24505086354012764,0.37000956170162896,0.25934928302885024,0.3871579887103211,0.1447609360216464,0.330355089096409,0.305556684545422
0.31712235022002155,0.2452802892876451,0.38618480293853635,0.25934928302885024,0.3826954768207509,0.1447609360216464,0.33699413025955693,0.305556684545422
0.3186667008065627,0.24787987552520727,0.388653077457864,0.25934928302885024,0.3861031250767533,0.1447609360216464,0.341524920523051,0.3069895614836244
0.32022902193756025,0.24787987552520727,0.39286633600700366,0.25934928302885024,0.3874180196143565,0.1447609360216464,0.33470823131539634,0.3069895614836244
0.3226137037019231,0.24787987552520727,0.3842819181892968,0.25934928302885024,0.38368162023023983,0.1447609360216464,0.3333364818013021,0.3069895614836244
0.31222583930863385,0.24787987552520727,0.39115889872504683,0.25934928302885024,0.3839940532251842,0.1447609360216464,0.33053289184415396,0.3069895614836244
0.3128270241438055,0.24975615071874213,0.39051895244825263,0.25934928302885024,0.3837902549580721,0.1447609360216464,0.3190847902653178,0.3069895614836244
0.30967844441546416,0.24975615071874213,0.3849147449649083,0.25934928302885024,0.3818231723063641,0.1447609360216464,0.32534612521659345,0.3069895614836244
0.3053746937962378,0.24975615071874213,0.38015231438772773,0.26043849808367886,0.38050751831081275,0.1447609360216464,0.32809476308044544,0.3069895614836244
0.3054335227142373,0.2456213500566406,0.3821684365202448,0.2598501951310834,0.37902547647055446,0.1447609360216464,0.33255790412782066,0.3069895614836244
0.30630478421776774,0.2456213500566406,0.3832936343092687,0.25664623341005655,0.3793398700486479,0.14648776875591224,0.34054730632570324,0.3069895614836244
0.30693504228442076,0.24501320730254314,0.3922457616446822,0.2620283513566767,0.38687612825924866,0.14163769860668513,0.33724288375494765,0.3069895614836244
0.31297176312429503,0.24501320730254314,0.39808921144616144,0.2620283513566767,0.38279306187125295,0.14163769860668513,0.3399240157334142,0.3069895614836244
0.3181270573473232,0.24501320730254314,0.41114728722903887,0.26887928166393293,0.38236471882259065,0.14163769860668513,0.36017999159531977,0.30001140236754553
0.31311461912819366,0.24501320730254314,0.40380193569915224,0.27195101124724985,0.37521308593229097,0.14163769860668513,0.36975571295386717,0.30001140236754553
0.29720081760246925,0.24305334164872908,0.3878146670016546,0.2763040285288403,0.37587296984933494,0.14163769860668513,0.3681459380241094,0.30001140236754553
0.3001627009542635,0.24305334164872908,0.3850498119439875,0.2763040285288403,0.3719512885639034,0.14163769860668513,0.3695249425220478,0.30001140236754553
0.2969070317704382,0.24305334164872908,0.3911799409574169,0.2763040285288403,0.36901137909691556,0.14163769860668513,0.3766515199533241,0.30001140236754553
0.29605687363850236,0.24305334164872908,0.3873240319122063,0.2763040285288403,0.37078864061706945,0.14163769860668513,0.3806226195508558,0.30001140236754553
0.3003360713070734,0.24305334164872908,0.39283207998864855,0.2763040285288403,0.37051046188661774,0.14163769860668513,0.38410308227645634,0.30001140236754553
0.30311239267003054,0.24305334164872908,0.39265041985815485,0.2763040285288403,0.36713713303096934,0.14163769860668513,0.394288799229921,0.30001140236754553
0.30387850551468676,0.24305334164872908,0.3831121456316899,0.2763040285288403,0.368572196373599,0.14163769860668513,0.3820079004791343,0.30001140236754553
0.31580460615110195,0.24305334164872908,0.3827021548587529,0.2763040285288403,0.36777117848107654,0.14163769860668513,0.3761132576757951,0.30001140236754553
