Model,Z_prior,mu_prior_sd,tau_halfcauchy_scale,sigma_y_used,sigma_c_used,mu_mean,mu_sd,mu_2.5%,mu_97.5%,tau_mean,tau_sd,tau_2.5%,tau_97.5%,phi_mean,phi_sd,phi_2.5%,phi_97.5%,Z_mean,Z_sd,Z_2.5%,Z_97.5%,Rhat_mu,Rhat_tau,Rhat_phi,Rhat_Z_mean,tau_accept_rate,phi_accept_rate,z_accept_rate,Validation_RMSE,Validation_Bias,Validation_SE,Validation_Coverage
AR1_SampledZ_Beta2_2_muSD10_HC5p0_sigY1p36_sigC1p36,"Beta(2,2)",10.0,5.0,1.3580511528512091,1.3580511528512091,0.4294570124510225,0.04062624843806673,0.3512085414321605,0.5053705987520816,0.7501566602683201,0.035248203368060754,0.6881640998476,0.8137579675851727,0.935922391762353,0.04489510950008328,0.8370746086672781,0.9889123719761018,0.9791567371579546,0.0023271618486025393,0.9695862370155179,0.9800490039541284,1.0027924412698428,1.0267015707703604,1.0497880083851858,1.0361751609607035,0.219,0.7244999999999999,0.006666666666666666,1.648540761393699,0.06337440398061872,1.649104021034735,0.9416846652267818
AR1_SampledZ_Beta2_2_muSD5_HC5p0_sigY1p36_sigC1p36,"Beta(2,2)",5.0,5.0,1.3580511528512091,1.3580511528512091,0.429435219067924,0.04062518014690814,0.35118925465986034,0.5053458785005763,0.7501566602683201,0.035248203368060754,0.6881640998476,0.8137579675851727,0.935922391762353,0.04489510950008328,0.8370746086672781,0.9889123719761018,0.9791567371579546,0.0023271618486025393,0.9695862370155179,0.9800490039541284,1.0027924486963975,1.0267015707703604,1.0497880083851858,1.0361751609607035,0.219,0.7244999999999999,0.006666666666666666,1.648541015742957,0.06335765177813615,1.6491049209358375,0.9416846652267818
AR1_SampledZ_Beta2_2_muSD10_HC5p0_sigY1p36_sigC1p19,"Beta(2,2)",10.0,5.0,1.3580511528512091,1.1882947587448078,0.4205291702301814,0.03790765724775721,0.34459024595739524,0.4943700082140196,0.712622348631064,0.0343346906333586,0.6620733630526944,0.8007635265609295,0.9443517176214162,0.04423161674506556,0.8039034818560763,0.9887089840527995,0.9794961574499745,0.009405390739476134,0.9445035178374024,0.9895097565053698,0.9993647734265471,1.0882767980090107,1.0202318627898843,0.9994479739203987,0.2215,0.727,0.007166666666666667,1.6523891054627478,0.06358453145521505,1.6529512838198697,0.9352051835853131
AR1_SampledZ_Beta2_2_muSD5_HC5p0_sigY1p36_sigC1p19,"Beta(2,2)",5.0,5.0,1.3580511528512091,1.1882947587448078,0.4205087579500905,0.037906650334758776,0.3445714743701538,0.4943461635263872,0.712622348631064,0.0343346906333586,0.6620733630526944,0.8007635265609295,0.9443517176214162,0.04423161674506556,0.8039034818560763,0.9887089840527995,0.9794961574499745,0.009405390739476134,0.9445035178374024,0.9895097565053698,0.9993648439725507,1.0882767980090107,1.0202318627898843,0.9994479739203987,0.2215,0.727,0.007166666666666667,1.652389317995247,0.0635686832967609,1.6529521076186506,0.9352051835853131
AR1_SampledZ_Beta2_2_muSD10_HC2p5_sigY1p36_sigC1p36,"Beta(2,2)",10.0,2.5,1.3580511528512091,1.3580511528512091,0.4314503915864389,0.04244317577341021,0.354349165260024,0.5163516919644349,0.7680181483270924,0.050073253731553066,0.6825107757899126,0.8563225853745249,0.9429964602313033,0.03635785808366197,0.8664387410379741,0.9884179302811827,0.9868450896621438,0.008285562233809047,0.9630646085836871,0.9917384849797143,0.9994414788989946,1.134522042803944,1.0019938327040752,1.320950821969298,0.20600000000000002,0.7515000000000001,0.007833333333333333,1.652651778006728,0.05630631814550679,1.6534788928739976,0.9438444924406048
AR1_SampledZ_Beta2_2_muSD5_HC2p5_sigY1p36_sigC1p36,"Beta(2,2)",5.0,2.5,1.3580511528512091,1.3580511528512091,0.43142790758956995,0.04244177650248992,0.35432689281450785,0.5163260757126382,0.7680181483270924,0.050073253731553066,0.6825107757899126,0.8563225853745249,0.9429964602313033,0.03635785808366197,0.8664387410379741,0.9884179302811827,0.9868450896621438,0.008285562233809047,0.9630646085836871,0.9917384849797143,0.9994417734698308,1.134522042803944,1.0019938327040752,1.320950821969298,0.20600000000000002,0.7515000000000001,0.007833333333333333,1.6526521522021989,0.056289150681209155,1.6534798534754906,0.9438444924406048
AR1_SampledZ_Beta2_2_muSD10_HC1p0_sigY1p36_sigC1p36,"Beta(2,2)",10.0,1.0,1.3580511528512091,1.3580511528512091,0.42780208585712787,0.04008514054466757,0.35269113095367094,0.5061056188391471,0.7575758985714154,0.05238371596811557,0.6473610167245067,0.8449824187426509,0.9349190864409432,0.04204383981354313,0.8343843479122226,0.9848272749418723,0.9788635220367996,0.006839652088379691,0.9634221735735342,0.9879615556954452,1.0316114492114974,1.1867239215980558,1.052499911275277,1.2298323450738657,0.199,0.731,0.005333333333333333,1.6570874025662323,0.0575615802646449,1.6578786875618599,0.9395248380129589
AR1_SampledZ_Beta2_2_muSD5_HC1p0_sigY1p36_sigC1p36,"Beta(2,2)",5.0,1.0,1.3580511528512091,1.3580511528512091,0.4277802496373495,0.04008389792112503,0.3526718884670886,0.5060812785030303,0.7575758985714154,0.05238371596811557,0.6473610167245067,0.8449824187426509,0.9349190864409432,0.04204383981354313,0.8343843479122226,0.9848272749418723,0.9788635220367996,0.006839652088379691,0.9634221735735342,0.9879615556954452,1.0316057139036898,1.1867239215980558,1.052499911275277,1.2298323450738657,0.199,0.731,0.005333333333333333,1.6570877438111942,0.057544866927782844,1.6578796108409874,0.9395248380129589
AR1_SampledZ_Beta2_2_muSD5_HC1p0_sigY1p36_sigC1p02,"Beta(2,2)",5.0,1.0,1.3580511528512091,1.0185383646384067,0.3958656081824116,0.04211291327958113,0.3038240678723564,0.4767442544774713,0.4617353212174105,0.18441209790482735,0.21070406072562647,0.7694703821818004,0.9476464611555587,0.050086410282815165,0.8153288506902562,0.9896921885055067,0.9762296407641098,0.006761453807439737,0.9589012863456,0.9839425043122554,1.0299597263132547,1.5172983978797896,1.1618540318474264,1.0852315380840316,0.1825,0.7849999999999999,0.006500000000000001,1.7012467696767721,0.0968303675723484,1.7003260706701186,0.9157667386609071
AR1_SampledZ_Beta2_2_muSD10_HC1p0_sigY1p36_sigC1p02,"Beta(2,2)",10.0,1.0,1.3580511528512091,1.0185383646384067,0.3958804513643138,0.04211478914598942,0.30383414245640333,0.47676596392289494,0.4617353212174105,0.18441209790482735,0.21070406072562647,0.7694703821818004,0.9476464611555587,0.050086410282815165,0.8153288506902562,0.9896921885055067,0.9762296407641098,0.006761453807439737,0.9589012863456,0.9839425043122554,1.0299736730386142,1.5172983978797896,1.1618540318474264,1.0852315380840316,0.1825,0.7849999999999999,0.006500000000000001,1.7012470814142437,0.09684309167475054,1.7003256570216816,0.9157667386609071
