AR(1) structure scenario with sampled Z prior = Beta(2,2)
Best model for this Z prior: AR1_SampledZ_Beta2_2_muSD10_HC5p0_sigY1p36_sigC1p36
Scenario directory: F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Bayesian Learning Algorithm\AR1_sampledZ_results\scenario_ar1_sampled_Beta_2_2

Bayesian AR(1) sampled-Z results for Beta_2_2
=============================================
                                               Model   Z_prior  a_z  b_z  mu_prior_sd  tau_halfcauchy_scale  sigma_y_used  sigma_c_used  mu_mean    mu_sd  mu_2.5%  mu_97.5%  tau_mean   tau_sd  tau_2.5%  tau_97.5%  phi_mean   phi_sd  phi_2.5%  phi_97.5%   Z_mean     Z_sd   Z_2.5%  Z_97.5%  Rhat_mu  Rhat_tau  Rhat_phi  Rhat_Z_mean  tau_accept_rate  phi_accept_rate  z_accept_rate  Validation_RMSE  Validation_Bias  Validation_SE  Validation_Coverage
 AR1_SampledZ_Beta2_2_muSD10_HC5p0_sigY1p36_sigC1p36 Beta(2,2)  2.0  2.0         10.0                   5.0      1.358051      1.358051 0.429457 0.040626 0.351209  0.505371  0.750157 0.035248  0.688164   0.813758  0.935922 0.044895  0.837075   0.988912 0.979157 0.002327 0.969586 0.980049 1.002792  1.026702  1.049788     1.036175           0.2190           0.7245       0.006667         1.648541         0.063374       1.649104             0.941685
  AR1_SampledZ_Beta2_2_muSD5_HC5p0_sigY1p36_sigC1p36 Beta(2,2)  2.0  2.0          5.0                   5.0      1.358051      1.358051 0.429435 0.040625 0.351189  0.505346  0.750157 0.035248  0.688164   0.813758  0.935922 0.044895  0.837075   0.988912 0.979157 0.002327 0.969586 0.980049 1.002792  1.026702  1.049788     1.036175           0.2190           0.7245       0.006667         1.648541         0.063358       1.649105             0.941685
 AR1_SampledZ_Beta2_2_muSD10_HC5p0_sigY1p36_sigC1p19 Beta(2,2)  2.0  2.0         10.0                   5.0      1.358051      1.188295 0.420529 0.037908 0.344590  0.494370  0.712622 0.034335  0.662073   0.800764  0.944352 0.044232  0.803903   0.988709 0.979496 0.009405 0.944504 0.989510 0.999365  1.088277  1.020232     0.999448           0.2215           0.7270       0.007167         1.652389         0.063585       1.652951             0.935205
  AR1_SampledZ_Beta2_2_muSD5_HC5p0_sigY1p36_sigC1p19 Beta(2,2)  2.0  2.0          5.0                   5.0      1.358051      1.188295 0.420509 0.037907 0.344571  0.494346  0.712622 0.034335  0.662073   0.800764  0.944352 0.044232  0.803903   0.988709 0.979496 0.009405 0.944504 0.989510 0.999365  1.088277  1.020232     0.999448           0.2215           0.7270       0.007167         1.652389         0.063569       1.652952             0.935205
