mu_chain_1,tau_chain_1,phi_chain_1,Zmean_chain_1,mu_chain_2,tau_chain_2,phi_chain_2,Zmean_chain_2
0.41999953818025737,0.6994631094485334,0.9816560403163516,0.9695862370155179,0.43533283443689497,0.7796176207727745,0.8997210181376166,0.97288662402574
0.4161014500269707,0.6994631094485334,0.9827813950133616,0.9695862370155179,0.46186762809127363,0.7870603480654325,0.8997210181376166,0.97288662402574
0.37683025034802436,0.6994631094485334,0.9784989283572086,0.9695862370155179,0.4429768993904342,0.7870603480654325,0.8997210181376166,0.97288662402574
0.3906870801271931,0.6994631094485334,0.9805927703101023,0.9695862370155179,0.4192974079791254,0.7825843504869212,0.9042723910017112,0.97288662402574
0.43356874090837655,0.6994631094485334,0.9802507459933891,0.9695862370155179,0.3904550670857415,0.7862807513901986,0.9016702322903023,0.97288662402574
0.4402827766714747,0.6994631094485334,0.9773637105337991,0.9695862370155179,0.46515093239898586,0.7772036662496179,0.9064403739917282,0.97288662402574
0.4623561200005522,0.6994631094485334,0.9719954990746437,0.9695862370155179,0.4259510266258779,0.7772036662496179,0.904968008915731,0.97288662402574
0.4806504258550594,0.6994631094485334,0.973772430601218,0.9695862370155179,0.4074316729168728,0.7772036662496179,0.9014506714226632,0.97288662402574
0.4615701278942468,0.6994631094485334,0.9686125204420671,0.9695862370155179,0.40574131699221183,0.7772036662496179,0.881130302546907,0.97288662402574
0.4675915627207766,0.7186082992833098,0.9607580008753221,0.9695862370155179,0.3994687256866793,0.7772036662496179,0.8708561900995363,0.97288662402574
0.4747104324350312,0.7161669280987873,0.9575538998420866,0.9695862370155179,0.4209133029285858,0.7772036662496179,0.8523173516006349,0.97288662402574
0.47932640047569103,0.6947601047948986,0.9522033592387545,0.9695862370155179,0.4356420508714768,0.7772036662496179,0.8639365634995695,0.97288662402574
0.4694198574523462,0.6947601047948986,0.9512587953529064,0.9695862370155179,0.4506011480033394,0.7772036662496179,0.8805579876298347,0.97288662402574
0.4735781918670189,0.6881640998476,0.9410432716257517,0.9695862370155179,0.4340001656520769,0.7772036662496179,0.8535533318002035,0.97288662402574
0.4621681434973835,0.6881640998476,0.949846305791234,0.9695862370155179,0.3932452417015066,0.7772036662496179,0.8535533318002035,0.97288662402574
0.45897941749515986,0.6881640998476,0.9502808559099339,0.9695862370155179,0.4505214799362078,0.7772036662496179,0.8535533318002035,0.97288662402574
0.458727170905112,0.6881640998476,0.9623079992155483,0.9695862370155179,0.42155882428249614,0.7772036662496179,0.8550602616010544,0.97288662402574
0.4530048701122345,0.6881640998476,0.9676104896087842,0.9695862370155179,0.43040871312804063,0.7772036662496179,0.8531179321620245,0.97288662402574
0.4526973024041411,0.6881640998476,0.9783505811443769,0.9695862370155179,0.4269611376519553,0.7772036662496179,0.8531179321620245,0.97288662402574
0.400483197260497,0.6881640998476,0.9839758201085317,0.9695862370155179,0.4025295702852047,0.7772036662496179,0.825477084130792,0.97288662402574
0.4337395676424634,0.6881640998476,0.9841494682315719,0.9695862370155179,0.4532970186554617,0.7772036662496179,0.8130327642219255,0.97288662402574
0.4539007355630501,0.6881640998476,0.9839977651344488,0.9695862370155179,0.4073116581401978,0.7772036662496179,0.8130327642219255,0.97288662402574
0.3881633826647783,0.6947222420367212,0.9857301258882056,0.9695862370155179,0.37146726185440726,0.7772036662496179,0.8117514817260201,0.97288662402574
0.4084060613547213,0.6947222420367212,0.9848930841063853,0.9695862370155179,0.3815570540364319,0.7772036662496179,0.8117514817260201,0.9773111493358008
0.43816311346735615,0.7139781360143788,0.9824688855263097,0.9695862370155179,0.43716477640234785,0.7772036662496179,0.8117514817260201,0.9773111493358008
0.456910461554962,0.7139781360143788,0.9896569702542727,0.9695862370155179,0.3869868106319844,0.7772036662496179,0.8117514817260201,0.9773111493358008
0.43927302064703466,0.7139781360143788,0.9894883661224464,0.9695862370155179,0.4070355728486248,0.7665377967506208,0.7678514760816423,0.9773111493358008
0.4636423483082534,0.7139781360143788,0.99,0.9695862370155179,0.39553965930212925,0.7665377967506208,0.7678514760816423,0.9773111493358008
0.41746619955084946,0.7139781360143788,0.9896511531504869,0.9695862370155179,0.4193758841228263,0.7665377967506208,0.7678514760816423,0.9773111493358008
0.38917415573677683,0.7139781360143788,0.9898958940927526,0.9695862370155179,0.4031194763097347,0.7665377967506208,0.7678514760816423,0.9773111493358008
0.38998188005041057,0.7139781360143788,0.9890755281258409,0.9695862370155179,0.4118127317236996,0.7665377967506208,0.7741651725809235,0.9773111493358008
0.3858462424146974,0.7139781360143788,0.9898499505257635,0.9695862370155179,0.4016816015763095,0.7734121412504243,0.7740067674430146,0.9773111493358008
0.38319335493168455,0.7139781360143788,0.988528857233672,0.9695862370155179,0.37217848532033804,0.7795466317793166,0.8051949077310016,0.9773111493358008
0.422890317780287,0.7139781360143788,0.9858334465418936,0.9695862370155179,0.41952996784164426,0.7795466317793166,0.8215411531942585,0.9773111493358008
0.40894432185475904,0.7139781360143788,0.9853200602178289,0.9695862370155179,0.42567878438986106,0.7795466317793166,0.8215411531942585,0.9773111493358008
0.4280374078181524,0.7139781360143788,0.9850107277696706,0.9695862370155179,0.4254727585706128,0.7795466317793166,0.8311703215334632,0.9773111493358008
0.4224436133644601,0.7139781360143788,0.9844023163453841,0.9695862370155179,0.3624485876348998,0.7884040607562904,0.8311703215334632,0.9773111493358008
0.4407401979464179,0.7139781360143788,0.9826243572458347,0.9695862370155179,0.37237187403870814,0.7884040607562904,0.8019896229689818,0.9773111493358008
0.40685226976275257,0.7139781360143788,0.9861413988045387,0.9695862370155179,0.34419920202681176,0.7884040607562904,0.8019896229689818,0.9773111493358008
0.4024137959006874,0.7050698594911041,0.9867086426105723,0.9695862370155179,0.35106182508001493,0.7884040607562904,0.8019896229689818,0.9773111493358008
0.4670924856767088,0.6790105993591575,0.9879054300788255,0.9695862370155179,0.3285649164354572,0.7884040607562904,0.8019896229689818,0.9773111493358008
0.44450364761473954,0.6818315214808292,0.9896957199298927,0.9695862370155179,0.3978399732532337,0.7884040607562904,0.8258119028052792,0.9773111493358008
